Name,Symbol,Start Date,Hist.,Category,Exchange,Market,Currency,Type,Sector,Full Name,ACTIVE,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE,BOURSE NAME
AMBASSADOR HOTEL,TW:AMB,1989/7/3,1989,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Travel and Leisure,Ambassador Hotel,1,772070,T2704,TW0002704004,Taiwan
AMCAD BIOMED,TW:ACB,2013/12/26,2013,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Pharmaceuticals and Biotechnology,Amcad Biomedical,1,8696Z8,T4188,TW0004188008,Taiwan OTC
AMIA,TW:MIA,2012/2/20,2012,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Chemicals,Amia,1,86834Q,T8438,TW0008438003,Taiwan OTC
AMICCOM ELECTRONICS,TW:AXX,2012/6/27,2012,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Amiccom Electronics,1,87274P,T5272,TW0005272009,Taiwan OTC
AMITA TECHNOLOGIES,TW:AMA,2011/6/28,2011,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Amita Technologies,1,774491,T5233,TW0005233001,Taiwan OTC
AMPIRE,TW:AMP,2004/2/2,2004,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Ampire,1,28424K,T8049,TW0008049008,Taiwan OTC
AMPOC FAR-EAST,TW:AFE,2002/1/23,2002,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Ampoc Far-East,1,15130N,T2493,TW0002493004,Taiwan
AMTRAN TECHNOLOGY,TW:AMN,1999/10/27,1999,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Leisure Goods,Amtran Technology,1,691872,T2489,TW0002489002,Taiwan
ANDERSON INDUSTRIAL,TW:ANC,1998/2/26,1998,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Industrial Engineering,Anderson Industrial,1,675135,T1528,TW0001528008,Taiwan
ANJI TECHNOLOGY,TW:ANJ,2014/10/28,2014,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Alternative Energy,Anji Technology,1,9166QM,T6477,TW0006477003,Taiwan
ANPEC ELECTRONICS,TW:ANP,2002/1/18,2002,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Anpec Electronics,1,15120F,T6138,TW0006138001,Taiwan OTC
ANSWER TECHNOLOGY,TW:ANT,2011/5/18,2011,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Answer Technology,1,51662M,T3528,TW0003528006,Taiwan
ANT PRECISION INDUSTRY,TW:ANR,2010/4/1,2010,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,ANT Precision Industry,1,69326W,T3646,TW0003646006,Taiwan OTC
APAC OPTO ELTN.,TW:AOE,2002/2/27,2002,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Apac Opto Electronics,1,15229X,T4908,TW0004908009,Taiwan OTC
APACER TECHNOLOGY,TW:APT,2010/12/29,2010,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Apacer Technology,1,30403Q,T8271,TW0008271008,Taiwan
APAQ TECHNOLOGY,TW:APQ,2014/2/27,2014,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Apaq Technology,1,8746DQ,T6449,TW0006449002,Taiwan
APCB,TW:APC,2001/8/29,2001,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,APCB,1,14471M,T6108,TW0006108004,Taiwan
APEX BIOTECHNOLOGY,TW:ABC,2000/6/13,2000,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Health Care Equipment and Services,APEX Biotechnology,1,280930,T1733,TW0001733004,Taiwan
APEX INTERNATIONAL,TW:AXI,2010/2/3,2010,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Personal Goods,APEX International,1,68918H,T4927,KYG0407M1033,Taiwan
APEX MEDICAL,TW:AMD,2002/1/22,2002,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Health Care Equipment and Services,APEX Medical,1,15128P,T4106,TW0004106000,Taiwan
APOGEE OPTOCOM CO.,TW:APG,2013/10/18,2013,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Apogee Optocom Company,1,91422N,T6426,TW0006426000,Taiwan OTC
APPLIED BIOCODE,T:APB,2017/2/9,2017,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Pharmaceuticals and Biotechnology,Applied Biocode,1,9013U1,T6598,KYG0488D1051,Taiwan OTC
ARBOR TECHNOLOGY,TW:ABR,2007/12/10,2007,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Arbor Technology,1,51662R,T3594,TW0003594008,Taiwan OTC
ARCADYAN TECHNOLOGY,TW:ARY,2009/3/11,2009,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Arcadyan Technology,1,51612F,T3596,TW0003596003,Taiwan
ARDENTEC,TW:ARD,2005/1/5,2005,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Ardentec,1,29924E,T3264,TW0003264008,Taiwan OTC
ARES INTERNATIONAL,TW:ARI,1999/3/30,1999,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Software and Computer Services,Ares International,1,691354,T2471,TW0002471000,Taiwan
ARGOSY RESEARCH,TW:AON,2004/4/30,2004,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Argosy Research,1,28907W,T3217,TW0003217006,Taiwan OTC
ARICH ENTERPRISE,TW:REA,2012/7/10,2012,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Pharmaceuticals and Biotechnology,Arich Enterprise,1,87308L,T4173,TW0004173000,Taiwan OTC
ARIMA COMMUNICATIONS,TW:AMC,2004/7/1,2004,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Arima Communications,1,28985K,T8101,TW0008101007,Taiwan
ARIMA LASERS,TW:ALW,2013/3/26,2013,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Arima Lasers,1,88206W,T3627,TW0003627006,Taiwan OTC
ARRAY,TW:ARR,2010/6/24,2010,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Software and Computer Services,Array,1,67628L,T3664,KYG0550W1069,Taiwan OTC
ASIA ELECTRONIC MATERIAL,TW:AEM,2010/5/27,2010,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Asia Electronic Material,1,69880V,T4939,TW0004939004,Taiwan OTC
ASIA OPTICAL,TW:ASO,2000/10/31,2000,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Asia Optical,1,269748,T3019,TW0003019006,Taiwan
ASIA PACIFIC TELECOM,TW:APY,2011/12/1,2011,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Mobile Telecommunications,Asia Pacific Telecom,1,77989T,T3682,TW0003682001,Taiwan
ASIA POLYMER,TW:APO,1989/7/3,1989,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Chemicals,Asia Polymer,1,772071,T1308,TW0001308005,Taiwan
ASIA TECH IMAGE,TW:AAG,2010/11/19,2010,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Asia Technology Image,1,77450V,T4974,TW0004974001,Taiwan OTC
ASIA VITAL COMPONENTS,TW:AAI,2002/9/27,2002,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Asia Vital Components,1,26272X,T3017,TW0003017000,Taiwan
ASIX ELECTRONICS,TW:ASX,2009/11/24,2009,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Asix Electronics,1,30831K,T3169,TW0003169009,Taiwan OTC
ASMEDIA TECHNOLOGY,TW:ASM,2012/1/12,2012,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Asmedia Technology,1,86648X,T5269,TW0005269005,Taiwan
ASOLID TECHNOLOGY,TW:ASD,2014/10/16,2014,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Asolid Technology,1,9142PV,T6485,TW0006485006,Taiwan OTC
ASPEED TECHNOLOGY,TW:ASP,2012/5/11,2012,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Aspeed Technology,1,87111Q,T5274,TW0005274005,Taiwan OTC
ASROCK,TW:ARK,2007/11/8,2007,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Asrock,1,412148,T3515,TW0003515003,Taiwan
ASTRO,TW:ASR,2004/6/9,2004,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Astro,1,28911L,T3064,TW0003064002,Taiwan OTC
ATE ENERGY INTERNATIONAL,TW:ACU,2002/5/17,2002,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,ATE Energy International,1,25522M,T6179,TW0006179005,Taiwan OTC
ATECH TECHNOLOGY,TW:ATT,2001/7/26,2001,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Atech Technology,1,14380X,T6109,TW0006109002,Taiwan OTC
ATEN INTERNATIONAL,TW:AEN,2003/10/30,2003,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Aten International,1,27943X,T6277,TW0006277007,Taiwan
ATRACK TECHNOLOGY,TW:ATA,2014/7/9,2014,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Leisure Goods,Atrack Technology,1,8936F7,T6465,TW0006465008,Taiwan OTC
AUDIX,TW:ADC,1999/10/4,1999,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Audix,1,691814,T2459,TW0002459005,Taiwan
AURAS TECHNOLOGY,TW:AAS,2005/5/13,2005,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Auras Technology,1,28999K,T3324,TW0003324000,Taiwan OTC
AURONA INDUSTRIES,TW:ARN,2004/1/27,2004,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Aurona Industries,1,28395X,T8074,TW0008074006,Taiwan OTC
AURORA,TW:AUR,1991/8/1,1991,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Aurora,1,315026,T2373,TW0002373008,Taiwan
AURORA SYSTEMS,TW:AUS,1999/6/3,1999,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Aurora Systems,1,691555,T2433,TW0002433000,Taiwan
AUROTEK,TW:AKC,2002/12/24,2002,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Industrial Engineering,Aurotek,1,26633L,T6215,TW0006215007,Taiwan
AV TECH,TW:AVH,2003/11/26,2003,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,AV Technology,1,28154P,T8072,TW0008072000,Taiwan
AVALUE TECHNOLOGY,TW:AVA,2010/6/8,2010,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Avalue Technology,1,51293H,T3479,TW0003479002,Taiwan OTC
AVER INFORMATION,TW:ARM,2009/7/15,2009,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Aver Information,1,68917X,T3669,TW0003669008,Taiwan
AVERMEDIA TECHNOLOGIES,TW:AVT,1997/5/5,1997,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Avermedia Technologies,1,890245,T2417,TW0002417003,Taiwan
AVISION,TW:AVI,1998/12/4,1998,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Avision,1,675825,T2380,TW0002380003,Taiwan
AVITA,TW:ACP,2010/4/27,2010,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Health Care Equipment and Services,Avita,1,77451D,T4735,TW0004735006,Taiwan OTC
AVY PRECISION TECH.,TW:AVY,1999/6/14,1999,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Industrial Engineering,AVY Precision Technology,1,691577,T5392,TW0005392005,Taiwan OTC
AWEA MECHANTRONIC,TW:AWE,1998/12/30,1998,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Industrial Engineering,Awea Mechantronic,1,675923,T1530,TW0001530004,Taiwan
AXIOMTEK,TW:AXT,2005/4/28,2005,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Axiomtek,1,30767Q,T3088,TW0003088001,Taiwan OTC
AXIS,TW:AXS,2003/11/26,2003,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Axis,1,28154K,T6292,TW0006292006,Taiwan OTC
AZUREWAVE TECHS.,TW:AZU,2011/5/3,2011,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Azurewave Technologies,1,69234R,T3694,TW0003694006,Taiwan
B IN LIVE,TBIL,2017/3/29,2017,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Media,B in Live,1,9055YU,T6625,TW0006625007,Taiwan OTC
BAI SHA TECHNOLOGY,TW:BAI,2010/3/29,2010,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Support Services,Bai SHA Technology,1,54614P,T8401,TW0008401001,Taiwan OTC
BANK OF KAOHSIUNG,TW:BOK,1998/5/18,1998,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Banks,Bank of Kaohsiung,1,675425,T2836,TW0002836004,Taiwan
BAOTEK INDUSTRIAL MATS.,TW:BIM,1998/1/20,1998,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Chemicals,Baotek Industrial Materials,1,675033,T5340,TW0005340004,Taiwan OTC
BASSO INDUSTRY,TW:BIC,1999/1/12,1999,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Household Goods and Home Construction,Basso Industry,1,675979,T1527,TW0001527000,Taiwan
BENQ MATERIALS,TW:BMC,2010/11/12,2010,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Chemicals,Benq Materials,1,31160E,T8215,TW0008215005,Taiwan
BENQ MEDICAL TECH.,TW:TME,2002/1/7,2002,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Health Care Equipment and Services,Benq Medical Technology,1,32171J,T4116,TW0004116009,Taiwan OTC
BES ENGINEERING,TW:BES,1993/3/2,1993,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Construction and Materials,BES Engineering,1,316674,T2515,TW0002515004,Taiwan
BEST FRIEND TECHNOLOGY,TW:YEC,1996/12/30,1996,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Best Friend Technology,1,887840,T5321,TW0005321004,Taiwan OTC
BESTEC POWER ELECTRONICS,TW:BST,2008/3/12,2008,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Bestec Power Electronics,1,31160D,T3308,TW0003308003,Taiwan
BILLION ELECTRIC,TW:BIL,2000/1/19,2000,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Billion Electric,1,280196,T3027,TW0003027009,Taiwan
BIN CHUAN ENTER.,TW:UAN,2005/7/29,2005,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Bin Chuan Enterprise,1,28998N,T1569,TW0001569002,Taiwan OTC
BIONET,TW:BIN,2007/7/26,2007,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Pharmaceuticals and Biotechnology,Bionet,1,30831N,T1784,TW0001784007,Taiwan OTC
BIONIME,TW:BBB,2010/12/23,2010,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Health Care Equipment and Services,Bionime,1,68521C,T4737,TW0004737002,Taiwan
BIOPTIK TECHNOLOGY,TW:BPT,2011/7/29,2011,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Pharmaceuticals and Biotechnology,Bioptik Technology,1,77505V,T4161,TW0004161005,Taiwan OTC
BIOSTAR MICROTECH INTL.,TW:BSI,1998/12/16,1998,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Biostar Microtech International,1,675889,T2399,TW0002399003,Taiwan
BIOTEQUE,TW:BIO,2002/3/4,2002,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Health Care Equipment and Services,Bioteque,1,15245L,T4107,TW0004107008,Taiwan OTC
BIZLINK HOLDING,TW:BZL,2011/4/21,2011,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Bizlink Holding,1,75751H,T3665,KYG114741062,Taiwan
BOARDTEK ELECTRONICS,TW:BOE,1998/6/25,1998,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Boardtek Electronics,1,675552,T5349,TW0005349005,Taiwan OTC
BODY ORGAN BIOMEDICAL,TW:BOG,2012/10/9,2012,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Pharmaceuticals and Biotechnology,Body Organ Biomedical,1,87712U,T4177,TW0004177001,Taiwan OTC
BON FAME,TW:BFM,2011/9/9,2011,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Personal Goods,Bon Fame,1,77601R,T8433,TW0008433004,Taiwan OTC
BOTHHAND ENTERPRISE,TW:BHE,2005/7/29,2005,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Bothhand Enterprise,1,28922P,T3299,TW0003299004,Taiwan OTC
BRIGHT LED ELECTRONICS,TW:BLE,2001/3/22,2001,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Bright LED Electronics,1,257156,T3031,TW0003031001,Taiwan
BRIGHT SHELAND INTL.,TW:BSH,2014/10/16,2014,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Industrial Engineering,Bright Sheland International,1,9142PU,T4556,TW0004556006,Taiwan OTC
BRIGHTKING HOLDINGS,TW:BGT,2014/7/14,2014,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Brightking Holdings,1,8939D8,T6422,KYG136861039,Taiwan
BRIGHTON-BEST INTL.,TW:BBI,2010/12/17,2010,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Industrial Engineering,Brighton-Best International,1,774511,T8415,TW0008415001,Taiwan OTC
BROGENT TECHNOLOGIES,TW:GZN,2011/12/5,2011,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Leisure Goods,Brogent Technologies,1,779970,T5263,TW0005263008,Taiwan OTC
BROWAVE,TW:BRO,2011/11/3,2011,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Browave,1,77884W,T3163,TW0003163002,Taiwan OTC
C SUN MANUFACTURING,TW:CGE,1999/9/28,1999,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Industrial Engineering,C Sun Manufacturing,1,691797,T2467,TW0002467008,Taiwan
C-MEDIA ELTN.,TW:CME,2003/4/21,2003,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,C-Media Electronics,1,26981L,T6237,TW0006237001,Taiwan OTC
C-TECH UNITED,TW:CTU,2009/10/28,2009,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,C-Technology United,1,53641W,T3625,TW0003625000,Taiwan OTC
CALIN TECHNOLOGY,TW:CTO,2011/1/24,2011,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Calin Technology,1,774500,T4976,TW0004976006,Taiwan
CAMELLIA METAL,TW:CML,2011/10/21,2011,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Construction and Materials,Camellia Metal,1,77827X,T2064,TW0002064003,Taiwan OTC
CAMEO COMMS.,TW:CAI,2002/1/22,2002,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Cameo Communications,1,15128T,T6142,TW0006142003,Taiwan
CAPITAL FUTURES,TW:CAF,2009/4/27,2009,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Financial Services (Sector),Capital Futures,1,53641V,T6024,TW0006024003,Taiwan OTC
CAPITAL SECURITIES,TW:CSC,1996/1/4,1996,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Financial Services (Sector),Capital Securities,1,887867,T6005,TW0006005002,Taiwan
CAREER TECH.(MNFG.),TW:CRM,2002/2/4,2002,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Career Technology (Manufacturing),1,15163E,T6153,TW0006153000,Taiwan
CARNIVAL INDUSTRIAL,TW:CAR,1989/7/3,1989,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Personal Goods,Carnival Industrial,1,772073,T1417,TW0001417004,Taiwan
CASETEK HOLDINGS,TW:CSL,2013/1/25,2013,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Casetek Holdings,1,88044V,T5264,KYG193031096,Taiwan
CASHBOX PARTYWORLD,TW:CPW,2012/5/3,2012,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Travel and Leisure,Cashbox Partyworld,1,87109D,T8359,TW0008359001,Taiwan OTC
CASING MACRON TECHNOLOGY,TW:CMH,2005/8/15,2005,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Casing Macron Technology,1,28922T,T3325,TW0003325007,Taiwan OTC
CASTLENET TECHNOLOGY,TW:STL,2010/3/16,2010,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Castlenet Technology,1,51805P,T8059,TW0008059007,Taiwan OTC
CASWELL,TW:CAW,2013/4/18,2013,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Caswell,1,88302C,T6416,TW0006416001,Taiwan OTC
CATHAY CHM.WORKS,TW:CAT,1990/1/31,1990,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Chemicals,Cathay Chemical Works,1,540319,T1713,TW0001713006,Taiwan
CAYENNE ENTM.TECH.,TW:CAY,2011/6/10,2011,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Leisure Goods,Cayenne Entertainment Technology,1,70756C,T4946,TW0004946009,Taiwan OTC
CAYMAN TUNG LING,TW:CYM,2011/9/9,2011,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Personal Goods,Cayman Tung Ling,1,775980,T2924,KYG198691092,Taiwan OTC
CCP CONTACT PROBES,TW:CPN,2003/1/9,2003,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,CCP Contact Probes,1,26675F,T6217,TW0006217003,Taiwan OTC
CELXPERT ENERGY,TW:LXP,2007/6/25,2007,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Celxpert Energy,1,29142J,T3323,TW0003323002,Taiwan OTC
CENTER LABORATORIES,TW:CLB,2003/10/7,2003,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Pharmaceuticals and Biotechnology,Center Laboratories,1,27761Q,T4123,TW0004123005,Taiwan OTC
CENTRAL REIN.,TW:CRC,2000/7/6,2000,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Nonlife Insurance,Central Reinsurance,1,297001,T2851,TW0002851003,Taiwan
CGS INTERNATIONAL,TW:CGS,1996/4/9,1996,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,CGS International,1,887829,T5310,TW0005310007,Taiwan OTC
CHAHENG PRECISION,TW:CAH,2013/7/30,2013,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Aerospace and Defense,Chaheng Precision,1,89520E,T4546,TW0004546007,Taiwan OTC
CHAIN CHON INDUSTRIAL,TW:CCH,2001/2/15,2001,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Industrial Metals and Mining,Chain Chon Industrial,1,256841,T5014,TW0005014005,Taiwan OTC
CHAIN YARN,TW:CYZ,2010/11/22,2010,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Personal Goods,Chain Yarn,1,774507,T4427,TW0004427000,Taiwan OTC
CHAINQUI CON.DEV.,TW:PAO,1989/7/3,1989,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Real Estate Investment and Services,Chainqui Construction Development,1,500026,T2509,TW0002509007,Taiwan
CHAMPION BLDG.MATS.,TW:SYC,1992/9/28,1992,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Construction and Materials,Champion Building Materials,1,315992,T1806,TW0001806008,Taiwan
CHAMPION MICROELECTRONIC,TW:CNM,2011/3/21,2011,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Champion Microelectronic,1,75578C,T3257,TW0003257002,Taiwan
CHANDER ELECTRONICS,TW:CRL,2004/3/25,2004,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Chander Electronics,1,28724H,T8068,TW0008068008,Taiwan OTC
CHANG TYPE INDL.,TW:CTY,2003/3/19,2003,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Industrial Engineering,Chang Type Industrial,1,26892R,T1541,TW0001541001,Taiwan
CHANG WAH ELTMAT.,TW:CWE,2003/10/30,2003,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Chang Wah Electromaterials,1,27944D,T8070,TW0008070004,Taiwan
CHANG-HO FIBRE,TW:CHO,1999/1/21,1999,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Personal Goods,Chang-Ho Fibre,1,691009,T1468,TW0001468007,Taiwan
CHANGS ASCENDING ENTER.,TW:CUN,2003/1/14,2003,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Changs Ascending Enterprise,1,51521K,T8038,TW0008038001,Taiwan OTC
CHANNEL WELL TECHNOLOGY,TW:CWT,2005/1/31,2005,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Channel Well Technology,1,30082E,T3078,TW0003078002,Taiwan OTC
CHANT SINCERE,TW:CAS,2002/12/20,2002,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Chant Sincere,1,26625Q,T6205,TW0006205008,Taiwan
CHATEAU INTL.DEVELOPMENT,TW:CID,2009/9/17,2009,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Travel and Leisure,Chateau International Development,1,69903K,T2722,TW0002722006,Taiwan
