Idate,Fdate,issuer,Business,SIC,hightec,state,nation,ticker,exchange,industry,bookrunner,managers,grosspread,managementfee,underfee,concession,reallowance,grossspreadP,managementfeeP,underfeeP,concessionP,reallowanceP,grossspreadmkt,principal,principalmkt,proceeds,proceedsmkt,p0,type,description,currency,marketplace,Pexchange,Ph,PL,Pm,sharesF,shareFmkt,amt,Tdamt,IPOflag,shares,Pshares,Sshares,sharesmkt,P_1,P1,spinoff,ownershipB,OwnershipA,Lexchange,ISIN,maintranche,foreignflag,ApsharesFSM,ApsharesF,PsharesFSM,PsharesFM,PsharesOSM,PsharesOM,country,IPO_number,Main_market,year,pshare1,sic1,S1,s2
2002/3/25,2002/3/22,Fu Cheong Intl Hldg Ltd,"Mnfr carbon paper, PCB",                          3955,Primary Business not Hi-Tech,Foreign,Hong Kong,916,Hong Kong,Manufacturing,CSCHK,"CSC Securities Ltd
Standard Ch",.001,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.189,                             8,                             8,                             8,                             8,.200,Ord/Common Shs.,"295,500,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"295,500,000","175,500,000","120,000,000",                     295500000,,.026,,,,HONGK,,Y,No,,,,,"175,500,000","175,500,000",Hong Kong,607,1,2002,175500000,3955,3,39
2002/3/25,2002/3/25,Kenfair Intl(Hldgs)Ltd,Pvd trade fairs svcs,                          7389,Primary Business not Hi-Tech,Foreign,Hong Kong,223,Hong Kong,Pers/Bus/Rep Svc,CLSA-HK,"CLSA
CSC Securities Ltd
Wintec",.003,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.261,                             9,                             9,                             9,                             9,1.000,Ord/Common Shs.,"70,560,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"70,560,000","34,560,000","36,000,000",                      70560000,.021,,,,,HONGK,,Y,No,,,,,"34,560,000","34,560,000",Hong Kong,607,1,2002,34560000,7389,7,73
2002/3/26,2002/3/19,Natural Beauty Bio-Tech Ltd,"Mnfr,whl beauty prod",                          2841,Primary Business not Hi-Tech,Foreign,Hong Kong,157,Hong Kong,Manufacturing,CPYAM,"Core Pacific-Yamaichi (HK)
Tai",.002,Comb.,Comb.,,,2.500,Comb.,Comb.,,,1.122,                            45,                            45,                            45,                            45,.700,Ord/Common Shs.,"500,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"500,000,000","500,000,000",,                     500000000,.078,.076,,,,HONGK,,Y,No,,,,,"500,000,000","500,000,000",Hong Kong,607,1,2002,500000000,2841,2,28
2002/4/16,2002/4/16,Wang Sing Intl Holdings Group,Whl power tools,                          5084,Primary Business not Hi-Tech,Foreign,Hong Kong,2389,Hong Kong,Wholesale,TAI-FOOK,"Tai Fook Securities Co Ltd
Sta",.003,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.256,                            10,                            10,                            10,                            10,.950,Ord/Common Shs.,"84,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"84,000,000","84,000,000",,                      84000000,.054,.165,,,,HONGK,,Y,No,,,,,"84,000,000","84,000,000",Hong Kong,607,1,2002,84000000,5084,5,50
2002/4/26,2002/4/18,Greenfield Chemical Holdings,"Mnfr,whl inds coatings",                          5198,Primary Business not Hi-Tech,Foreign,Hong Kong,582,Hong Kong,Wholesale,SUN-HUNG-INTL,Sun Hung Kai International Ltd,.003,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.101,                             4,                             4,                             4,                             4,.800,Ord/Common Shs.,"39,375,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"39,375,000","20,625,000","18,750,000",                      39375000,.032,,,,,HONGK,,Y,No,,,,,"20,625,000","20,625,000",Hong Kong,607,1,2002,20625000,5198,5,51
2002/4/29,2002/4/29,VST Holdings Ltd,Whl IT products,                          5734,Primary Business not Hi-Tech,Foreign,Hong Kong,856,Hong Kong,Retail,GUOTAIJ,"Guotai Junan Securities (HK)
S",.001,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.170,                             7,                             7,                             7,                             7,.250,Ord/Common Shs.,"212,660,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"212,660,000","170,660,000","42,000,000",                     212660000,.487,.036,,,,HONGK,,Y,No,,,,,"170,660,000","170,660,000",Hong Kong,607,1,2002,170660000,5734,5,57
2002/4/30,2002/4/30,Linmark Group Ltd,Pvd supply chain mgmt svcs,                          8742,Primary Business not Hi-Tech,Foreign,Hong Kong,915,Hong Kong,Pers/Bus/Rep Svc,DBS-ASIA/SBI-HKO(JB),"DBS Asia Capital Ltd
SBI E2-Ca",.005,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.871,                            30,                            33,                            30,                            33,1.680,Ord/Common Shs.,"140,400,000.0 Ord/Common Shs.",HK,Euro Public,HONGK,,,,,,,,Yes,"140,400,000","109,200,000","31,200,000",                     154440000,.309,.288,,,,HONGK,,Y,No,,,,,"123,240,000","109,200,000",Hong Kong,607,1,2002,109200000,8742,8,87
2002/4/30,2002/4/30,Sino Prosper Holdings Ltd,Construction company,                          1521,Primary Business not Hi-Tech,Foreign,Hong Kong,0766,Hong Kong,Construction,KINGST,"Kingston Securities Limited
St",.001,Comb.,Comb.,,,2.752,Comb.,Comb.,,,.176,                             6,                             6,                             6,                             6,.250,Ord/Common Shs.,"200,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"200,000,000","130,000,000","70,000,000",                     200000000,.019,.036,,,,HONGK,,Y,No,,,,,"130,000,000","130,000,000",Hong Kong,607,1,2002,130000000,1521,1,15
2002/5/9,2002/5/9,China Shipping Dvlp Co Ltd,Pvd shipping storage svcs,                          4491,Primary Business not Hi-Tech,Foreign,China,1138,Hong Kong,Transportation,CHINA-CAPITAL,China International Capital Co,na,,,,,na,,,,,,                           100,                           100,                           100,                           100,2.360,Class A Ord Shs,"350,000,000.0 Class A Ord Shs",CY,China Public,SHANG,,,,,,,,Yes,"350,000,000","350,000,000",,                     350000000,,,,,,SHANG,,Y,No,,,,,"350,000,000","350,000,000",Hong Kong,607,1,2002,350000000,4491,4,44
2002/5/13,2002/5/2,Chitaly Holdings Ltd,"Mnfr,whl home furniture",                          2519,Primary Business not Hi-Tech,Foreign,Hong Kong,1198,Hong Kong,Manufacturing,"KINGST/TAI-FOOK(JB)
/QUAM-SEC(","Kingston Securities Limited
Ta",.003,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.184,                             7,                             7,                             7,                             7,1.000,Ord/Common Shs.,"57,500,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"57,500,000","40,250,000","17,250,000",                      57500000,.067,.127,,,,HONGK,,Y,No,,,,,"40,250,000","40,250,000",Hong Kong,607,1,2002,40250000,2519,2,25
2002/6/10,2002/6/1,Topsearch Intl(Holdings)Ltd,"Mnfr,whl printed circuit board",                          3672,"Other Electronics
Robotics
Pri",Foreign,Hong Kong,2323,Hong Kong,Manufacturing,DBS-ASIA,"DBS Asia Capital Ltd
DBS Vicke",.004,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.697,                            28,                            28,                            28,                            28,1.380,Ord/Common Shs.,"157,600,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"157,600,000","157,600,000",,                     157600000,.283,.156,,,,HONGK,,Y,No,,,,,"157,600,000","157,600,000",Hong Kong,607,1,2002,157600000,3672,3,36
2002/6/21,2002/6/10,Harbin Brewery Group Ltd,"Produce,whl beer",                          2082,Primary Business not Hi-Tech,Foreign,China,249,Hong Kong,Manufacturing,CAZEAS,"Cazenove Asia Ltd
First Shangh",.008,.002,.002,.005,,4.000,.800,.800,2.40,,2.004,                            44,                            48,                            44,                            48,1.560,Ord/Common Shs.,"217,800,000.0 Ord/Common Shs.",HK,Euro Public,HONGK,,,,,,,,Yes,"217,800,000","198,000,000","19,800,000",                     242000000,,,,,,HONGK,,Y,No,,,,,"220,000,000","198,000,000",Hong Kong,607,1,2002,198000000,2082,2,20
2002/6/26,2002/6/18,Global Trend Intelligent Tech,Pvd consulting services,                          8742,Primary Business not Hi-Tech,Foreign,Hong Kong,691,Hong Kong,Pers/Bus/Rep Svc,CEF,"CEF Capital Ltd
GC Capital (As",.002,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.243,                            10,                            10,                            10,                            10,.750,Ord/Common Shs.,"101,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"101,000,000","101,000,000",,                     101000000,,.064,,,,HONGK,,Y,No,,,,,"101,000,000","101,000,000",Hong Kong,607,1,2002,101000000,8742,8,87
2002/7/22,2002/7/12,Teem Foundation Group Ltd,Pvd carpentry works,                          1751,Primary Business not Hi-Tech,Foreign,Hong Kong,628,Hong Kong,Construction,SCSECS,"South China Securities
TingKon",.001,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.162,                             6,                             6,                             7,                             6,.300,Ord/Common Shs.,"168,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"168,000,000","168,000,000",,                     168000000,.145,,,,,HONGK,,Y,No,,,,,"168,000,000","168,000,000",Hong Kong,607,1,2002,168000000,1751,1,17
2002/7/26,2002/7/22,BYD Co Ltd,"Mnfr,whl automobiles,parts",                          3711,Precision/Measuring Test Equip,Foreign,China,1211,Hong Kong,Manufacturing,BNPSLT,"BNP Paribas Peregrine Sec
Bank",.035,Comb.,Comb.,,,2.500,Comb.,Comb.,,,4.790,                           164,                           182,                           164,                           182,10.95,Class H Ord Shs,"117,000,000.0 Class H Ord Shs",HK,Euro Public,HONGK,,,,,,,,Yes,"117,000,000","117,000,000",,                     130000000,8.716,,,,,HONGK,CN0006617467,Y,No,,,,,"130,000,000","117,000,000",Hong Kong,607,1,2002,117000000,3711,3,37
2002/7/30,2002/7/30,Inno-Tech Holdings Ltd,Provide system design svcs,                          7373,"Programming Services
Other Com",Foreign,Hong Kong,8202,Hong Kong,Pers/Bus/Rep Svc,IPO-SECURITIES,IPO Securities Ltd (Hong Kong),.001,Comb.,Comb.,,,4.000,Comb.,Comb.,,,.172,                             4,                             4,                             4,                             4,.280,Ord/Common Shs.,"120,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HKGEM,,,,,,,,Yes,"120,000,000","96,000,000","24,000,000",                     120000000,.03,.037,,,,HKGEM,,Y,No,,,,,"96,000,000","96,000,000",Hong Kong,607,1,2002,96000000,7373,7,73
2002/8/9,2002/7/31,Surge Recreation Holdings Ltd,"Own,op amusement parks",                          7996,Primary Business not Hi-Tech,Foreign,Hong Kong,703,Hong Kong,Leisure,CELESTIAL-CAP,"Celestial Capital
Kim Eng Secu",.002,Comb.,Comb.,,,3.500,Comb.,Comb.,,,.363,                            10,                            10,                            10,                            10,.540,Ord/Common Shs.,"150,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"150,000,000","108,000,000","42,000,000",                     150000000,.092,.041,,,,HONGK,,Y,No,,,,,"108,000,000","108,000,000",Hong Kong,607,1,2002,108000000,7996,7,79
2002/8/20,2002/8/20,Huafeng Envi Protection,Pvd fabric processing svcs,                          2231,Primary Business not Hi-Tech,Foreign,Hong Kong,0364,Hong Kong,Manufacturing,CM-CCS-SEC,"CM-CCS Securities Ltd
Standard",.002,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.254,                            10,                            10,                            10,                            10,.500,Ord/Common Shs.,"158,400,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"158,400,000","94,400,000","64,000,000",                     158400000,.002,.065,,,,HONGK,,Y,No,,,,,"94,400,000","94,400,000",Hong Kong,607,1,2002,94400000,2231,2,22
2002/8/27,2002/8/27,Long Far Pharm Hldg Ltd,Mnfr pharmaceuticals,                          2836,"Other Biotechnology
Vaccines/S",Foreign,Hong Kong,2898,Hong Kong,Manufacturing,SWCAP,"Shenyin Wanguo Capital (HK)
St",.001,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.163,                             7,                             7,                             7,                             7,.340,Ord/Common Shs.,"150,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"150,000,000","150,000,000",,                     150000000,.049,.046,,,,HONGK,,Y,No,,,,,"150,000,000","150,000,000",Hong Kong,607,1,2002,150000000,2836,2,28
2002/8/30,2002/8/22,Ming Fung Jewellery Group Ltd,"Mnfr,whl jewelry prod",                          3911,Primary Business not Hi-Tech,Foreign,Hong Kong,860,Hong Kong,Manufacturing,TSECHK,"Taiwan Securities (Hong Kong)
",.001,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.210,                             8,                             8,                             8,                             8,.360,Ord/Common Shs.,"182,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"182,000,000","130,000,000","52,000,000",                     182000000,.22,.051,,,,HONGK,,Y,No,,,,,"130,000,000","130,000,000",Hong Kong,607,1,2002,130000000,3911,3,39
2002/9/6,2002/9/6,Suga Intl Hldg Ltd,"Mnfr,whl electn appl",                          3634,Primary Business not Hi-Tech,Foreign,Hong Kong,912,Hong Kong,Manufacturing,ORIENTAL-PATRON,"Oriental Patron Asia Ltd
Stand",.003,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.125,                             5,                             6,                             5,                             6,1.000,Ord/Common Shs.,"39,000,000.0 Ord/Common Shs.",HK,Euro Public,HONGK,,,,,,,,Yes,"39,000,000","39,000,000",,                      50000000,.323,.131,,,,HONGK,,Y,No,,,,,"50,000,000","39,000,000",Hong Kong,607,1,2002,39000000,3634,3,36
2002/10/25,2002/10/17,Asia Zirconium Ltd,"Mnfr,whl zirconium chem",                          2899,Primary Business not Hi-Tech,Foreign,Hong Kong,395,Hong Kong,Manufacturing,TAI-FOOK/JSCRESV(JB),"Tai Fook Securities Co Ltd
JS",na,Comb.,Comb.,,,na,Comb.,Comb.,,,,                            10,                            10,                            10,                            10,.800,Ord/Common Shs.,"100,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"100,000,000","100,000,000",,                     100000000,.017,.112,,,,HONGK,,Y,No,,,,,"100,000,000","100,000,000",Hong Kong,607,1,2002,100000000,2899,2,28
2002/10/31,2002/10/23,LeRoi Holdings Ltd,"Mnfr,whl women's clothing",                          2331,Primary Business not Hi-Tech,Foreign,Hong Kong,221,Hong Kong,Manufacturing,"KINGST
/MASTERLINK-SEC(JB)
/PC","Kingston Securities Limited
Ma",na,Comb.,Comb.,,,na,Comb.,Comb.,,,,                             6,                             6,                             6,                             6,.250,Ord/Common Shs.,"200,376,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"200,376,000","139,656,000","60,720,000",                     200376000,.034,.038,,,,HONGK,,Y,No,,,,,"139,656,000","139,656,000",Hong Kong,607,1,2002,139656000,2331,2,23
2002/11/6,2002/10/28,Rontex Intl Hldgs Ltd,"Mnfr,whl men's clothing",                          2329,Primary Business not Hi-Tech,Foreign,Hong Kong,1142,Hong Kong,Manufacturing,EVERLO,"Ever-Long Securities
Standard",na,Comb.,Comb.,,,na,Comb.,Comb.,,,,                             8,                             8,                             8,                             8,1.000,Ord/Common Shs.,"59,100,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"59,100,000","35,100,000","24,000,000",                      59100000,.023,.131,,,,HONGK,,Y,No,,,,,"35,100,000","35,100,000",Hong Kong,607,1,2002,35100000,2329,2,23
2002/11/7,2002/10/30,Grandtop Intl Hldg Ltd,"Mnfr,ret apparels",                          2389,Primary Business not Hi-Tech,Foreign,Hong Kong,2309,Hong Kong,Manufacturing,EVERLO/TAICOR(JB),"Ever-Long Securities
Taiwan Co",na,Comb.,Comb.,,,na,Comb.,Comb.,,,,                             8,                             8,                             8,                             8,1.000,Ord/Common Shs.,"59,100,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"59,100,000","35,100,000","24,000,000",                      59100000,.023,.131,,,,HONGK,,Y,No,,,,,"35,100,000","35,100,000",Hong Kong,607,1,2002,35100000,2389,2,23
2002/11/12,2002/11/6,Hainan Meilan Airport Co Ltd,Passenger airline,                          4512,Primary Business not Hi-Tech,Foreign,China,0357,Hong Kong,Transportation,HONG-SHANG-BKG,"Hongkong & Shanghai Bank (HK)
",.012,Comb.,Comb.,,,2.500,Comb.,Comb.,,,1.113,                            45,                            98,                            45,                            98,3.780,Class H Ord Shs,"91,830,000.0 Class H Ord Shs",HK,Euro Public,HONGK,,,,,,,,Yes,"91,830,000","91,830,000",,                     201700000,1.07,.51,,,,HONGK,CN0007788689,Y,No,,,,,"198,000,000","91,830,000",Hong Kong,607,1,2002,91830000,4512,4,45
2002/11/12,2002/10/31,PME Group Ltd,"Mnfr,whl polishing materials",                          3471,Primary Business not Hi-Tech,Foreign,Hong Kong,379,Hong Kong,Manufacturing,EMPER,"Emperor Securities Ltd
Standar",na,Comb.,Comb.,,,na,Comb.,Comb.,,,,                             6,                             6,                             6,                             6,.250,Ord/Common Shs.,"198,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"198,000,000","118,000,000","80,000,000",                     198000000,.008,.041,,,,HONGK,,Y,No,,,,,"118,000,000","118,000,000",Hong Kong,607,1,2002,118000000,3471,3,34
2002/11/14,2002/11/4,China Oilfield Services Ltd,Pvd oil & gas drilling svcs,                          1382,Primary Business not Hi-Tech,Foreign,China,2883,Hong Kong,Natural Resource,C-S-F-B/ML-HK(JB),Credit Suisse First Boston Ltd,.008,.002,.002,.005,,3.500,.700,.700,2.10,,8.552,                           201,                           287,                           201,                           287,1.680,Class H Ord Shs,"934,256,000.0 Class H Ord Shs",HK,Euro Public,HONGK,,,,,,,,Yes,"934,256,000","934,256,000",,                    1334652000,,,China National Offshore Oil,,,HONGK,CN0007789299,Y,No,,,,,1213320000,"934,256,000",Hong Kong,607,1,2002,934256000,1382,1,13
2002/12/10,2002/11/28,Hua Han Bio-Pharmaceutical,Mnfr pharmaceuticals,                          2834,"General Pharmaceuticals
Medici",Foreign,Hong Kong,587,Hong Kong,Manufacturing,GUOTAIJ,"Guotai Junan Securities (HK)
C",na,Comb.,Comb.,,,na,Comb.,Comb.,,,,                            13,                            13,                            13,                            13,.740,Ord/Common Shs.,"140,580,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"140,580,000","97,980,000","42,600,000",                     140580000,.068,.77,,,,HONGK,,Y,No,,,,,"97,980,000","97,980,000",Hong Kong,607,1,2002,97980000,2834,2,28
2002/12/18,2002/12/18,Anhui Expressway Co Ltd,"Pvd highway op,constr svcs",                          1611,Primary Business not Hi-Tech,Foreign,China,995,Hong Kong,Construction,GUOTAI-JUNAN,"Guotai Junan Securities
Dapeng",na,,,,,na,,,,,,                            66,                            66,                            66,                            66,2.200,Class A Ord Shs,"250,000,000.0 Class A Ord Shs",CY,China Public,SHANG,,,,,,,,Yes,"250,000,000","250,000,000",,                     250000000,,,,,,SHANG,,Y,No,,,,,"250,000,000","250,000,000",Hong Kong,607,1,2002,250000000,1611,1,16
2002/12/18,2002/11/29,Warderly Intl Hldg Ltd,"Mnfr,whl hsehld appl",                          3639,Primary Business not Hi-Tech,Foreign,Hong Kong,607,Hong Kong,Manufacturing,CSCHK,"CSC Securities Ltd
Standard Ch",na,Comb.,Comb.,,,na,Comb.,Comb.,,,,                             9,                             9,                            10,                             9,.800,Ord/Common Shs.,"92,350,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"92,350,000","61,225,000","31,125,000",                      92350000,.431,.064,,,,HONGK,KYG943441017,Y,No,,,,,"61,225,000","61,225,000",Hong Kong,607,1,2002,61225000,3639,3,36
2003/2/7,2003/1/23,Sinotrans Ltd,Pvd logistics svcs,                          4512,Primary Business not Hi-Tech,Foreign,China,598,Hong Kong,Transportation,BOCIA/CSFB(JB),"BOCI Asia
Credit Suisse First",.01,.002,.002,.006,,3.500,.700,.700,2.10,,9.389,                           203,                           436,                           203,                           436,2.190,Class H Ord Shs,"722,301,000.0 Class H Ord Shs",HK,Euro Public,HONGK,.2936,.21411,.25385,"1,554,267,000","1,554,267,000",394.6,,Yes,"722,301,000","581,004,000","141,297,000",                    1554267000,.49,.289,Peoples Republic of China,,,HONGK,CN0001729671,Y,No,,,,,1412970000,"581,004,000",Hong Kong,607,1,2003,581004000,4512,4,45
