issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,same Ticker,same date, in 40 day,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Kuo Bin Ceramic Industry Co,1994/10/26,1994/10/26,TW0008986175,1808,3253,Kuo Bin Ceramic Industry Co,5,kuoincemic,5,Kuo Ching Chemical,x,x,x,Kuo Ching Chemical,KUO CHING CHEMICAL,TW:KUC,2009/10/22,69233V,T1757,TW0001757003
Tong Yang Industry Co Ltd,1994/12/12,1994/12/12,TW0008986126,1319,3714,Tong Yang Industry Co Ltd,4,ongngindust,4,Kwong Fong Industries,x,x,x,Kwong Fong Industries,KWONG FONG INDS.,TW:KFI,1989/7/3,777101,T1416,TW0001416006
Rexon,1995/2/4,1995/2/4,,REXON,3541,Rexon,0,rexon,10,Ablerex Electronics,x,x,x,Ablerex Electronics,ABLEREX ELECTRONICS,TW:ABL,2010/9/9,69713F,T3628,TW0003628004
Ding Ing Enterprise Co Ltd,1995/2/6,1995/2/6,TW0008985094,9923,3111,Ding Ing Enterprise Co Ltd,3,ngingenterpr,3,Tong Ming Enterprise,x,x,x,Tong Ming Enterprise,TONG MING ENTERPRISE,TW:TIG,2013/12/16,91407L,T5538,KYG8919A1031
TNC Industrial,1995/3/30,1995/3/30,TW0002372000,1719,3559,TNC Industrial,0,tnc,12,Taiwan Semiconductor Manufacturing,x,x,x,Taiwan Semiconductor Manufacturing,TAIWAN SEMICON.MNFG.,TW:TSM,1994/9/6,140406,T2330,TW0002330008
Falcon Cycle-Parts Co Ltd,1995/4/1,1995/4/1,,1516,3751,Falcon Cycle-Parts Co Ltd,7,loncepar,5,Long Chen Paper,x,x,x,Long Chen Paper,LONG CHEN PAPER,TW:LON,1989/7/3,777102,T1909,TW0001909000
Holtek Microelectronics Inc,1995/4/27,1995/4/27,,HOLTEK,3674,Holtek Microelectronics Inc,3,otekmicroele,3,Novatek Microelectronics,x,x,x,Novatek Microelectronics,NOVATEK MICROELS.,TW:NOV,2001/4/24,257412,T3034,TW0003034005
Accton Technology Corp,1995/9/6,1995/9/6,TW0009004077,2345,3577,Accton Technology Corp,0,accton,8,ABC Taiwan Electronics,x,x,x,ABC Taiwan Electronics,ABC TAIWAN ELECTRONICS,TW:ATB,2004/12/2,29740V,T3236,TW0003236006
Aceton Technology,1995/11/15,1995/11/15,,ACETON,7371,Aceton Technology,0,aceton,8,ABC Taiwan Electronics,x,x,x,ABC Taiwan Electronics,ABC TAIWAN ELECTRONICS,TW:ATB,2004/12/2,29740V,T3236,TW0003236006
Synnex Tech Intl Corp,1995/12/13,1995/12/13,,2347,5045,Synnex Tech Intl Corp,5,sextechnl,6,Posiflex Technologies,x,x,x,Posiflex Technologies,POSIFLEX TECHNOLOGIES,TW:FLX,2005/7/20,29000M,T8114,TW0008114000
Yee Chen Construction,1995/12/30,1995/12/30,,YEECC,1541,Yee Chen Construction,3,echnconstruc,3,TE Chang Construction,x,x,x,TE Chang Construction,TE CHANG CONSTRUCTION,TW:TCC,1998/12/9,675837,T5511,TW0005511000
Dahin,1996/3/4,1996/3/4,TW0001320000,DAHIN,2899,Dahin,0,dahin,7,Lida Holdings,x,x,x,Lida Holdings,LIDA HOLDINGS,TW:LDH,2016/7/20,7742MQ,T4552,KYG5479W1033
S&T Copper Industries Co Ltd,1996/3/11,1996/3/11,TW0002026002,STCOP,3366,S&T Copper Industries Co Ltd,5,terindustr,5,Tex Year Industries,x,x,x,Tex Year Industries,TEX YEAR INDUSTRIES,TW:TEX,2001/3/16,257096,T4720,TW0004720008
Ritek Corp,1996/4/23,1996/4/23,TW0009051789,2349,3572,Ritek Corp,0,ritek,10,Information-Tek,x,x,x,Information-Tek,INFO-TEK,TW:IFT,2005/3/30,30394C,T8183,TW0008183005
SDI Corp,1996/4/25,1996/4/25,,2351,3674,SDI Corp,0,sdi,12,Bossdom Digiinnovation,x,x,x,Bossdom Digiinnovation,BOSSDOM DIGIINNOVATION,TW:BSD,2017/5/22,9091HH,T6622,TW0006622004
Sanayang Industry,1996/7/1,1996/7/1,,SANAY,3711,Sanayang Industry,3,snangindustr,3,Sinkang Industries,x,x,x,Sinkang Industries,SINKANG INDS.,TW:SII,1996/5/3,887822,T2032,TW0002032000
Core Pacific Construction Corp,1996/9/1,1996/9/1,,,1522,Core Pacific Construction Corp,3,corepacifics,3,Core Pacific Securities,x,x,x,Core Pacific Securities,CORE PACIFIC SECS.,TW:CPS,1996/4/8,887874,T6013,TW0006013006
Shamrock Technology Co Ltd,1996/10/8,1996/10/8,,2354,3571,Shamrock Technology Co Ltd,2,shamrc,9,Shanghai Commercial and Savings Bank,x,x,x,Shanghai Commercial and Savings Bank,SHANGHAI COML.& SVG.BK.,TW:SSB,2014/9/25,9110QK,T5876,TW0005876007
Clevo Co,1997/6/28,1997/6/28,TW0002362001,2362,3571,Clevo Co,1,levoco,9,Level Biotechnology,x,x,x,Level Biotechnology,LEVEL BIOTECHNOLOGY,TW:LBT,2008/5/21,30903L,T3118,TW0003118006
Wisher Industries Co,1997/7/22,1997/7/22,,WISHER,2399,Wisher Industries Co,4,wheindustri,4,Hwa Chen Industries,x,x,x,Hwa Chen Industries,HWA CHEN INDS.,TW:HCI,1989/7/3,777094,TW2507,NA
Knowledge Yield Excellence,1997/9/13,1997/9/13,,TP,3629,Knowledge Yield Excellence,6,oledgeele,6,Golden Bridge Electech,x,x,x,Golden Bridge Electech,GLDN.BDG.ELECTECH,TW:GBE,2002/1/22,15128Q,T6133,TW0006133002
Lee-Tah Farm Industries Co,1998/5/8,1998/5/8,TW0001226009,LEETAH,5191,Lee-Tah Farm Industries Co,1,leetahfarmindu,1,Lee Tah Farm Industries,x,x,x,Lee Tah Farm Industries,LEE TAH FARM INDS.,TW:LTF,1993/12/10,356846,T8724,TW0008724006
Yeun Chyang Industrial Co Ltd,1998/7/28,1998/7/28,,2034,3312,Yeun Chyang Industrial Co Ltd,2,yunchang,5,Yuen Chang SSTL,x,x,x,Yuen Chang SSTL,YUEN CHANG SSTL.,TW:YCS,2015/2/5,9301Z5,T2069,TW0002069002
ZyXEL Communications Corp,1998/8/4,1998/8/4,,2391,3663,ZyXEL Communications Corp,3,elcommunicat,3,Well Communication,x,x,x,Well Communication,WELL COMMUNICATION,TW:WEL,2001/3/9,256990,T3039,TW0003039004
Arima Computer Corp,1998/11/16,1998/11/16,,2381,3571,Arima Computer Corp,3,aacomputer,4,Quanta Computer,x,x,x,Quanta Computer,QUANTA COMPUTER,TW:QUM,1999/1/8,695966,T2382,TW0002382009
Basso Industry Corp,1998/12/15,1998/12/15,TW0004519004,1527,3559,Basso Industry Corp,4,aoindustr,6,Aurona Industries,x,x,x,Aurona Industries,AURONA INDUSTRIES,TW:ARN,2004/1/27,28395X,T8074,TW0008074006
ALi Corp,1999/8/17,1999/8/17,,3041,3674,ALi Corp,0,ali,12,Taiwan Leader Biotechnology,x,x,x,Taiwan Leader Biotechnology,TAIWAN LEADER BIOTECH,TW:LDB,2016/1/14,8839TW,T8490,TW0008490004
Horng Jiuh Construction Corp,1999/8/17,1999/8/17,TW0002542008,2542,1521,Horng Jiuh Construction Corp,4,honghconstr,4,Chong Hong Construction,x,x,x,Chong Hong Construction,CHONG HONG CON.,TW:CCL,2002/3/26,15354C,T5534,TW0005534002
Aaeon Technology Inc,1999/8/30,1999/8/30,,2463,3571,Aaeon Technology Inc,0,aaeon,10,Taiwan Semiconductor Manufacturing,x,x,x,Taiwan Semiconductor Manufacturing,TAIWAN SEMICON.MNFG.,TW:TSM,1994/9/6,140406,T2330,TW0002330008
Phihong Enterprises Co Ltd,2000/1/12,2000/1/12,,2457,3674,Phihong Enterprises Co Ltd,3,ihngenterpri,3,Li Cheng Enterprise,x,x,x,Li Cheng Enterprise,LI CHENG ENTERPRISE,TW:LIR,2006/11/10,31192Q,T4426,TW0004426002
Yosun Industrial Corp,2000/2/27,2000/2/27,,2403,5065,Yosun Industrial Corp,0,yosun,10,Tycoons Group Enterprise,x,x,x,Tycoons Group Enterprise,TYCOONS GP.ENTER.,TW:TYG,1995/3/27,141099,T2022,TW0002022001
Sweeten Construction Co Ltd,2000/4/22,2000/4/22,,5525,1522,Sweeten Construction Co Ltd,4,tenconstruc,4,TE Chang Construction,x,x,x,TE Chang Construction,TE CHANG CONSTRUCTION,TW:TCC,1998/12/9,675837,T5511,TW0005511000
ABIT Computer Corp,2000/5/28,2000/5/28,,2407,3577,ABIT Computer Corp,2,atcomputer,4,Quanta Computer,x,x,x,Quanta Computer,QUANTA COMPUTER,TW:QUM,1999/1/8,695966,T2382,TW0002382009
Acer Display Technology Inc,2000/8/14,2000/8/14,,2409,3674,Acer Display Technology Inc,2,erdisplay,6,Emerging Display Technologies,x,x,x,Emerging Display Technologies,EMERGING DISPLAY TECHS.,TW:EDT,2001/4/3,257279,T3038,TW0003038006
Wintech Microelectronics Co,2000/8/29,2000/8/29,,3036,3674,Wintech Microelectronics Co,4,ntemicroele,4,United Micro Electronics,x,x,x,United Micro Electronics,UNITED MICRO ELTN.,TW:UTD,1988/7/19,777152,T2303,TW0002303005
SONiX Technology Co Ltd,2000/11/1,2000/11/1,,5471,3674,SONiX Technology Co Ltd,0,sonix,3,Sitronix Technology,x,x,x,Sitronix Technology,SITRONIX TECHNOLOGY,TW:STX,2003/12/25,28257M,T8016,TW0008016007
Sinbon Electronics Co Ltd,2001/4/2,2001/4/2,,3023,3679,Sinbon Electronics Co Ltd,1,sinons,9,Taiwan Shin Kong Security,x,x,x,Taiwan Shin Kong Security,TAIWAN SHIN KONG SCTY.,TW:TSS,1995/12/11,865382,T9925,TW0009925008
Cyntec Co Ltd,2001/5/2,2001/5/2,,2452,3674,Cyntec Co Ltd,0,cyntec,9,China Synthetic Rubber,x,x,x,China Synthetic Rubber,CHINA SYN.RUBBER,TW:CSR,1989/7/3,777080,T2104,TW0002104007
Chilisin Electronics Corp,2001/8/22,2001/8/22,,2456,3677,Chilisin Electronics Corp,1,chiliins,7,China Life Insurance,x,x,x,China Life Insurance,CHINA LIFE INSURANCE,TW:CNI,1995/2/8,140969,T2823,TW0002823002
Teco Enterprise Co Ltd,2001/9/21,2001/9/21,,6119,5065,Teco Enterprise Co Ltd,3,centerprise,4,Arich Enterprise,x,x,x,Arich Enterprise,ARICH ENTERPRISE,TW:REA,2012/7/10,87308L,T4173,TW0004173000
Xepex Electronics Co Ltd,2001/12/1,2001/12/1,,6132,5065,Xepex Electronics Co Ltd,1,xepes,10,x'Pole Precision,x,x,x,x'Pole Precision,X'POLE PRECISION,31191M,2005/6/7,31191M,NA,TW0001573004
TurboComm Tech Inc,2001/12/5,2001/12/5,,2494,3357,TurboComm Tech Inc,4,ubocommec,6,Fubon Commercial Bank,x,x,x,Fubon Commercial Bank,FUBON COMMERCIAL BANK,887862,1996/4/23,887862,T2842,TW0002842002
Highlight Tech Corp,2002/11/25,2002/11/25,TWU00R046005,6208,5722,Highlight Tech Corp,4,highlight,6,High Power Lighting,x,x,x,High Power Lighting,HIGH POWER LIGHTING,TW:HOP,2015/12/15,8758ED,T6559,TW0006559008
MET Technology Co Ltd,2002/11/28,2002/11/28,TWU00R069007,6212,3651,MET Technology Co Ltd,0,met,9,Taiwan Cement,x,x,x,Taiwan Cement,TAIWAN CEMENT,TW:TCM,1987/9/9,756125,T1101,TW0001101004
