issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LCS,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Visual Photonics Epitaxy,2002/1/5,2002/1/5,,2455,3674,Visual Photonics Epitaxy,visualphotonics,Visual Photonics Epitaxy,Visual Photonics Epitaxy,VISUAL PHOTONICS EPITAXY,TW:VPH,2002/1/24,15136W,T2455,TW0002455003
K S Terminals Inc,2002/1/14,2002/1/14,,3003,3575,K S Terminals Inc,ksterminals,KS Terminals,KS Terminals,KS TERMINALS,TW:KST,2002/2/19,15210W,T3003,TW0003003000
Rechi Precision Co Ltd,2002/1/19,2002/1/19,TWU00R026007,4532,3585,Rechi Precision Co Ltd,rechiprecision,Rechi Precision,Rechi Precision,RECHI PRECISION,TW:RPC,2002/2/25,15224D,T4532,TW0004532007
Unity Opto Technology Co Ltd,2002/1/24,2002/1/18,TWU00R096000,2499,3679,Unity Opto Technology Co Ltd,unityopto,Unity Opto Technology,Unity Opto Technology,UNITY OPTO TECH.,TW:UPT,2002/2/19,15210V,T2499,TW0002499001
Elite Semiconductor Memory,2002/1/28,2002/1/28,,3006,3674,Elite Semiconductor Memory,elitesemiconduc,Elite Semiconductor Memory Technology,Elite Semiconductor Memory Technology,ELITE SEMICON.MEM.TECH.,TW:ESM,2002/3/4,15242X,T3006,TW0003006003
Infortrend Technology Inc,2002/2/22,2002/2/22,TWU00R101008,2495,3823,Infortrend Technology Inc,infortrend,Infortrend Technology,Infortrend Technology,INFORTREND TECHNOLOGY,TW:INF,2002/3/25,15347H,T2495,TW0002495009
Jye Tai Precision Industrial,2002/2/22,2002/2/22,TWU00R014003,6165,3699,Jye Tai Precision Industrial,jyetaiprecision,JYE Tai Precision Industrial,JYE Tai Precision Industrial,JYE TAI PRECN.INDL.,TW:JYE,2002/3/26,15354E,T6165,TW0006165004
Harvatek Corp,2002/2/23,2002/2/23,TWU00R050007,6168,3674,Harvatek Corp,harvatek,Harvatek,Harvatek,HARVATEK,TW:HAR,2002/3/22,15344M,T6168,TW0006168008
Adlink Technology Inc,2002/2/27,2002/2/27,TWU00R019002,6166,3577,Adlink Technology Inc,adlink,Adlink Technology,Adlink Technology,ADLINK TECHNOLOGY,TW:ADL,2002/3/28,15363J,T6166,TW0006166002
Chong Hong Construction Co Ltd,2002/2/27,2002/2/27,,5534,1522,Chong Hong Construction Co Ltd,chonghongconstr,Chong Hong Construction,Chong Hong Construction,CHONG HONG CON.,TW:CCL,2002/3/26,15354C,T5534,TW0005534002
Billionton Systems Inc,2002/3/18,2002/3/18,TWU00R062002,6172,3674,Billionton Systems Inc,billiontonsyste,Billionton Systems,Billionton Systems,BILLIONTON SYSTEMS,TW:BLS,2002/4/18,15422Q,T6172,TW0006172000
Quanta Display Inc,2002/7/31,2002/7/31,TWU00R171001,3012,3663,Quanta Display Inc,quantadisplay,Quanta Display,Quanta Display,QUANTA DISPLAY,TW:QDI,2002/8/28,26154H,T3012,TW0003012001
Promate Electronic Co Ltd,2002/8/18,2002/8/18,TWU00R112005,6189,3674,Promate Electronic Co Ltd,promate,Promate Solutions,Promate Solutions,PROMATE SOLUTIONS,TW:PMS,2016/3/8,8949RX,T6577,TW0006577000
UNEEC,2002/8/19,2002/8/19,TWU00R120008,3013,3089,UNEEC,uneec,Chunghwa Telecom,Chunghwa Telecom,CHUNGHWA TELECOM,TW:CHG,2000/10/30,269528,T2412,TW0002412004
Sintek Photronic Corp,2002/9/2,2002/9/2,TWU00R018004,3049,3671,Sintek Photronic Corp,sinephotonic,Ushine Photonics,Ushine Photonics,USHINE PHOTONICS,TW:UPS,2009/10/22,69297F,T3678,TW0003678009
Marketech International Corp,2002/9/16,2002/9/16,TWU00R110009,6196,3674,Marketech International Corp,marketech,Marketech International,Marketech International,MARKETECH INTL.,TW:MEP,2002/10/17,26382E,T6196,TW0006196009
SPI Electronic Co Ltd,2002/9/17,2002/9/17,TWU00R131005,3015,3679,SPI Electronic Co Ltd,spi,Taiwan Prosperity Chemical,Taiwan Prosperity Chemical,TAIWAN PROSPERITY CHM.,TW:TNP,2007/10/2,41227U,T4725,TW0004725007
Chiu Ting Machinery Co,2002/9/25,2002/9/25,TW0004531009,1539,3545,Chiu Ting Machinery Co,chiutingmachine,Chiu Ting Machinery,Chiu Ting Machinery,CHIU TING MACHINERY,TW:CTN,2001/5/14,263147,T1539,TW0001539005
U-Tech Media Corp,2002/9/28,2002/9/28,TWU00R129009,3050,3652,U-Tech Media Corp,u-techmed,U-Technology Media,U-Technology Media,U-TECH MEDIA,TW:UTI,2002/10/29,26437J,T3050,TW0003050001
ITE Technology Inc,2002/9/29,2002/9/29,,3014,3672,ITE Technology Inc,ite,Taiwan Name Plate,Taiwan Name Plate,TAIWAN NAME PLATE,TW:TPL,2016/9/29,2605HU,T6593,TW0006593007
Optimax Technology Corp,2002/9/30,2002/9/30,TWU00R165003,3051,3826,Optimax Technology Corp,optimax,Optimax Technology,Optimax Technology,OPTIMAX TECHNOLOGY,TW:OTC,2002/10/28,26429J,T3051,TW0003051009
Test Research Inc,2002/9/30,2002/9/30,TW0005496004,3030,3674,Test Research Inc,testresearch,Test Research,Test Research,TEST RESEARCH,TW:TST,2001/3/21,257147,T3030,TW0003030003
Holtek Semiconductor Inc,2002/10/1,2002/10/1,TWU00R127003,6202,3674,Holtek Semiconductor Inc,holteksemicondu,Holtek Semiconductor,Holtek Semiconductor,HOLTEK SEMICON.,TW:HOS,2002/11/4,26464N,T6202,TW0006202005
Carry Computer Eng Co Ltd,2002/10/21,2002/10/21,TWU00R170003,3054,3679,Carry Computer Eng Co Ltd,arcomputer,Sunfar Computer,Sunfar Computer,SUNFAR COMPUTER,TW:SCC,2002/2/18,15206H,T6154,TW0006154008
Leader Electronics Inc,2002/11/12,2002/11/12,TWU00R068009,3058,3612,Leader Electronics Inc,leaders,Leadtek Research,Leadtek Research,LEADTEK RESEARCH,TW:LRI,1999/6/3,691556,T2465,TW0002465002
Promise Technology Inc,2002/11/19,2002/11/19,TWU00R145005,3057,3577,Promise Technology Inc,promise,Promise Technology,Promise Technology,PROMISE TECHNOLOGY,TW:POT,2002/12/18,26618X,T3057,TW0003057006
Spirox Corp,2002/11/19,2002/11/19,TWU00R177008,3055,3674,Spirox Corp,spirox,Spirox,Spirox,SPIROX,TW:SPX,2002/12/12,26603J,T3055,TW0003055000
Precision Silicon Corp,2002/11/23,2002/11/23,TWU00R154007,3016,3674,Precision Silicon Corp,presionlco,Professional Computer Technology,Professional Computer Technology,PROFESSIONAL CMP.TECH.,TW:PCH,2003/9/17,27593H,T6270,TW0006270002
Altek Corp,2002/11/25,2002/11/25,TWU00R179004,3059,3861,Altek Corp,altek,Taiwan Line Tek Electronic,Taiwan Line Tek Electronic,TAIWAN LINE TEK ELT.,TW:TLE,1996/1/4,887813,T2462,TW0002462009
Kinko Optical Co Ltd,2002/12/1,2002/12/1,TWU00R114001,6209,3827,Kinko Optical Co Ltd,kinkooptical,Kinko Optical,Kinko Optical,KINKO OPTICAL,TW:KIK,2002/12/30,26641W,T6209,TW0006209000
Johnson Health Tech Co Ltd,2002/12/9,2002/12/9,TWU00R408007,1736,2836,Johnson Health Tech Co Ltd,johnsonhealth,Johnson Health Technology,Johnson Health Technology,JOHNSON HEALTH TECH.,TW:JHT,2003/1/9,26675C,T1736,TW0001736007
Makalot Industrial Co Ltd,2002/12/23,2002/12/23,TWU00R917007,1477,2253,Makalot Industrial Co Ltd,makalot,Makalot Industrial,Makalot Industrial,MAKALOT INDUSTRIAL,TW:MIK,2003/1/21,26709V,T1477,TW0001477008
Waffer Technology Corp,2003/2/12,2003/2/12,TWU00R189003,6235,3567,Waffer Technology Corp,waffer,Waffer Technology,Waffer Technology,WAFFER TECHNOLOGY,TW:WAF,2003/3/12,26873W,T6235,TW0006235005
Min Aik Technology Co Ltd,2003/3/22,2003/3/22,TWU00R186009,3060,3469,Min Aik Technology Co Ltd,minaik,Min Aik Technology,Min Aik Technology,MIN AIK TECHNOLOGY,TW:MAT,2003/4/21,26981J,T3060,TW0003060000
CyberTAN Technology Inc,2003/6/27,2003/6/27,TW0003062006,3062,3674,CyberTAN Technology Inc,cybertan,Cybertan Technology,Cybertan Technology,CYBERTAN TECH.,TW:CYI,2003/7/28,27322J,T3062,TW0003062006
Wistron Corp,2003/7/21,2003/7/21,,3231,3571,Wistron Corp,wistron,Wistron,Wistron,WISTRON,TW:WST,2003/8/19,27386N,T3231,TW0003231007
Sigurd Microelectronics Corp,2003/7/23,2003/7/23,TW0006257009,6257,3674,Sigurd Microelectronics Corp,sigurdmicroelec,Sigurd Microelectronics,Sigurd Microelectronics,SIGURD MICROELECTRONICS,TW:SUR,2003/8/25,27403W,T6257,TW0006257009
Arima Optoelectronics Corp,2003/7/30,2003/7/30,TW0006289002,6289,3674,Arima Optoelectronics Corp,arimaoptoelectr,Arima Optoelectronics,Arima Optoelectronics,ARIMA OPTOELECTRONICS,TW:APE,2003/8/28,27437L,T6289,TW0006289002
Acbel Polytech Inc,2003/8/10,2003/8/10,TWU00R232001,6282,3674,Acbel Polytech Inc,acbelpolytech,Acbel Polytech,Acbel Polytech,ACBEL POLYTECH,TW:ABP,2003/9/8,27552C,T6282,TW0006282007
Intl Semiconductor Tech Ltd,2003/8/11,2003/8/11,,3063,3679,Intl Semiconductor Tech Ltd,insemiconduct,Win Semiconductors,Win Semiconductors,WIN SEMICONDUCTORS,TW:WSN,2009/10/6,68798F,T3105,TW0003105003
Wistron Neweb Corp,2003/8/21,2003/8/21,TW0006285000,6285,3663,Wistron Neweb Corp,wistronneweb,Wistron Neweb,Wistron Neweb,WISTRON NEWEB,TW:WNE,2003/9/22,27620X,T6285,TW0006285000
Flexium Interconnect Inc,2003/8/24,2003/8/24,TW0006269004,6269,3672,Flexium Interconnect Inc,flexiumintercon,Flexium Interconnect,Flexium Interconnect,FLEXIUM INTERCONNECT,TW:FXI,2003/9/23,27624D,T6269,TW0006269004
Plotech Co Ltd,2003/9/20,2003/9/20,,6141,3674,Plotech Co Ltd,plotech,Plotech,Plotech,PLOTECH,TW:PLO,2000/9/15,264567,T6141,TW0006141005
Taiwan Salt Co,2003/9/23,2003/9/23,,1737,2899,Taiwan Salt Co,taiwanalco,Taiwan Allied Container Terminal,Taiwan Allied Container Terminal,TAIWAN ALLIED CTNR.TERM.,TW:TCT,1996/1/4,887846,T5601,TW0005601009
Honey Hope Honesty Enterprise,2003/9/24,2003/9/24,TW0008043001,8043,3674,Honey Hope Honesty Enterprise,honeyhopehonest,Honey Hope Honesty Enterprise,Honey Hope Honesty Enterprise,HONEY HOPE HNTY.ENTER.,TW:HEH,2003/10/24,27920R,T8043,TW0008043001
Aten International Co Ltd,2003/9/29,2003/9/29,TW0006277007,6277,3674,Aten International Co Ltd,aten,Taiwan Steel Union,Taiwan Steel Union,TAIWAN STEEL UNION,TW:TSU,2016/9/9,2566EC,T6581,TW0006581002
Boser Technology Co Ltd,2003/10/19,2003/10/19,TW0003069001,3069,3674,Boser Technology Co Ltd,boser,Tyson Bioresearch,Tyson Bioresearch,TYSON BIORESEARCH,TW:TYB,2008/6/11,53812R,T4134,TW0004134002
Axis Corp,2003/10/27,2003/10/27,TW0006292006,6292,3612,Axis Corp,axis,Thevax Genetics Vaccine,Thevax Genetics Vaccine,THEVAX GENETICS VACCINE,TW:VAX,2016/1/22,8852HK,T6567,TW0006567001
AV Tech Corp,2003/10/28,2003/10/28,TW0008072000,8072,3674,AV Tech Corp,avtech,Advantech,Advantech,ADVANTECH,TW:ADV,1999/12/13,280084,T2395,TW0002395001
Chinese Gamer Intl Corp,2003/11/4,2003/11/4,TW0003083002,3083,7372,Chinese Gamer Intl Corp,chinesegamer,Chinese Gamer International,Chinese Gamer International,CHINESE GAMER INTL.,TW:CGI,2003/12/2,28174K,T3083,TW0003083002
Compal Communications Inc,2003/11/11,2003/11/11,TW0008078007,8078,3663,Compal Communications Inc,compalcommunica,Compal Communications,Compal Communications,COMPAL COMMUNICATIONS,TW:CPM,2003/12/9,28026V,T8078,TW0008078007
Macauto Industrial Co Ltd,2003/11/19,2003/11/19,TW0009951004,9951,3711,Macauto Industrial Co Ltd,macauto,Macauto Industrial,Macauto Industrial,MACAUTO INDUSTRIAL,TW:MAU,2003/12/18,28232Q,T9951,TW0009951004
Taiwan Union Technology Corp,2003/11/19,2003/11/19,TW0006274004,6274,3674,Taiwan Union Technology Corp,taiwanunion,Taiwan Union Technology,Taiwan Union Technology,TAIWAN UNION TECHNOLOGY,TW:TUT,2003/12/18,28232P,T6274,TW0006274004
Taiflex Scientific Co Ltd,2003/11/20,2003/11/20,TW0008039009,8039,3674,Taiflex Scientific Co Ltd,taiflexscientif,Taiflex Scientific,Taiflex Scientific,TAIFLEX SCIENTIFIC,TW:TXS,2003/12/19,28238C,T8039,TW0008039009
Sinotronix Technology Corp,2003/11/26,2003/11/26,,8016,3674,Sinotronix Technology Corp,sinotroni,Silicon Optronics,Silicon Optronics,SILICON OPTRONICS,TW:SOX,2007/4/18,50973E,T3530,TW0003530002
Formosa Petrochemical Corp,2003/11/28,2003/11/28,TW0006505001,6505,2899,Formosa Petrochemical Corp,formosapetroche,Formosa Petrochemical,Formosa Petrochemical,FORMOSA PETROCHEMICAL,TW:FPC,2003/12/26,28258H,T6505,TW0006505001
SCI Pharmtech Inc,2003/12/8,2003/12/8,TW0004119003,4119,2833,SCI Pharmtech Inc,scipharmtech,SCI Pharmtech,SCI Pharmtech,SCI PHARMTECH,TW:SPM,2004/1/7,28295W,T4119,TW0004119003
Homenema Disk Inc,2004/1/15,2004/1/15,TW0008087008,8087,3674,Homenema Disk Inc,homenema,Homenema Technology,Homenema Technology,HOMENEMA TECHNOLOGY,TW:HDI,2004/2/25,28537U,T8087,TW0008087008
Allied Material Tech Corp,2004/2/2,2004/2/2,TW0008017005,8017,5065,Allied Material Tech Corp,alliedmaterial,Allied Material Technology,Allied Material Technology,ALLIED MATERIAL TECH.,TW:AMT,2004/3/1,28549F,T8017,TW0008017005
Silitech Technology Corp,2004/2/8,2004/2/8,,3311,3674,Silitech Technology Corp,silitech,Silitech Technology,Silitech Technology,SILITECH TECHNOLOGY,TW:SHH,2004/3/8,28573X,T3311,TW0003311007
Depo Auto Parts Ind Co Ltd,2004/2/15,2004/2/15,TW0006605009,6605,3647,Depo Auto Parts Ind Co Ltd,depoautoparti,Depo Auto Participations Industry,Depo Auto Participations Industry,DEPO AUTO PARTS IND.,TW:DEP,2004/3/17,28624L,T6605,TW0006605009
Huikwang Corp,2004/2/21,2004/2/21,TW0006508005,6508,2879,Huikwang Corp,huikwang,Huikwang,Huikwang,HUIKWANG,TW:HKC,2004/3/22,28693K,T6508,TW0006508005
Howteh Technology Co Ltd,2004/2/26,2004/2/26,TW0003114005,3114,3674,Howteh Technology Co Ltd,howteh,Howteh Technology,Howteh Technology,HOWTEH TECHNOLOGY,TW:HOW,2004/3/25,28724J,T3114,TW0003114005
Alltek Technology Corp,2004/3/1,2004/3/1,TW0003209003,3209,5063,Alltek Technology Corp,alltek,Alltek Technology,Alltek Technology,ALLTEK TECHNOLOGY,TW:LLC,2004/3/29,28737C,T3209,TW0003209003
St Shine Optical,2004/3/1,2004/3/1,TW0001565000,1565,3851,St Shine Optical,stshineoptic,Saint Shine Optical,Saint Shine Optical,ST SHINE OPTICAL,TW:SSL,2004/3/30,28747J,T1565,TW0001565000
Fu Chun Shin Mach Mnfr Co Ltd,2004/3/4,2004/3/4,TW0006603004,6603,3544,Fu Chun Shin Mach Mnfr Co Ltd,fuchunshinmach,Fu Chun Shin Machinery Manufacture,Fu Chun Shin Machinery Manufacture,FU CHUN SHIN MCH.MANF.,TW:FCS,2004/4/5,28769K,T6603,TW0006603004
Dr. Chip Biotechnology Inc,2004/3/11,2004/3/11,TW0004131008,4131,2836,Dr. Chip Biotechnology Inc,drchipbiotechno,DR Chip Biotechnology,DR Chip Biotechnology,DR CHIP BIOTECHNOLOGY,TW:DCI,2004/4/9,28819K,T4131,TW0004131008
Ace Pillar Co Ltd,2004/3/15,2004/3/15,TW0008374000,8374,5084,Ace Pillar Co Ltd,acepillar,Ace Pillar,Ace Pillar,ACE PILLAR,TW:APL,2004/4/15,28839H,T8374,TW0008374000
Gish International Co Ltd,2004/3/23,2004/3/23,TW0008067000,8067,3674,Gish International Co Ltd,gish,English Electric,English Electric,ENG ELECTRIC,TW:ENG,2005/1/3,29917W,T8287,TW0008287004
Top Union Electronics Corp,2004/4/2,2004/4/2,TW0006266000,6266,3674,Top Union Electronics Corp,topunion,Top Union Electronics,Top Union Electronics,TOP UNION ELECTRONICS,TW:TUE,2004/4/29,28897Q,T6266,TW0006266000
Opnet Technologies Co Ltd,2004/4/7,2004/4/7,TW0008034000,8034,3674,Opnet Technologies Co Ltd,opnettechnologi,Opnet Technologies,Opnet Technologies,OPNET TECHNOLOGIES,TW:OTH,2004/5/6,28922U,T8034,TW0008034000
Astro Corp,2004/5/10,2004/5/10,TW0003064002,3064,3559,Astro Corp,astro,Taiwan Styrene Monomer,Taiwan Styrene Monomer,TW.STYRENE MONOMER,TW:STY,1989/7/3,777141,T1310,TW0001310001
Lih Duo International Co Ltd,2004/6/18,2004/6/18,,3079,3674,Lih Duo International Co Ltd,lihduo,LIH Duo International,LIH Duo International,LIH DUO INTL.,TW:LID,2004/7/19,29112D,T3079,TW0003079000
Optodisc Technology Corp,2004/6/23,2004/6/23,TW0003142006,3142,3695,Optodisc Technology Corp,optodisc,Optodisc Technology,Optodisc Technology,OPTODISC TECHNOLOGY,TW:OOI,2004/7/30,29077K,T3142,TW0003142006
Kisus Interconnect Tech Corp,2004/10/5,2004/10/5,TW0003189007,3189,3674,Kisus Interconnect Tech Corp,kisusinterconn,Kinsus Interconnect Technology,Kinsus Interconnect Technology,KINSUS INTCONN.TECH.,TW:KTT,2004/11/1,29548V,T3189,TW0003189007
Lite-On IT Corp,2004/10/7,2004/10/7,TW0008008004,8008,3674,Lite-On IT Corp,lite-onit,Lite-On IT,Lite-On IT,LITE-ON IT,TW:LTO,2001/7/24,14357P,T8008,TW0008008004
South Epitaxy Co Ltd,2004/10/27,2004/10/27,,3214,3674,South Epitaxy Co Ltd,utepitaxy,United Epitaxy,United Epitaxy,UTD EPITAXY,TW:UNE,1998/11/23,675798,T2422,TW0002422003
Alpha Networks Inc,2004/11/22,2004/11/22,,3380,3577,Alpha Networks Inc,alphanetworks,Alpha Networks,Alpha Networks,ALPHA NETWORKS,TW:ANI,2004/12/20,29830F,T3380,TW0003380002
Yulon Nissan Motor Co Ltd,2004/11/24,2004/11/24,,2227,3711,Yulon Nissan Motor Co Ltd,yulonnissanmoto,Yulon Nissan Motor,Yulon Nissan Motor,YULON NISSAN MOTOR,TW:YNM,2004/12/21,298422,T2227,TW0002227006
System General Corp,2004/12/6,2004/12/6,TW0006280001,6280,3577,System General Corp,systemgeneral,System General,System General,SYSTEM GENERAL,TW:SGC,2004/12/28,29904Q,T6280,TW0006280001
Kinik Co,2005/1/3,2005/1/3,TW0001560001,1560,3545,Kinik Co,kinico,Kino Biotechnology,Kino Biotechnology,KINO BIOTECH,TW:KNO,2011/7/27,77505U,T4154,KYG527551082
Cheertek Inc,2005/1/4,2005/1/4,TW0003271003,3271,3572,Cheertek Inc,cheertek,Cheertek,Cheertek,CHEERTEK,TW:EER,2005/1/31,30064D,T3271,TW0003271003
GeoVision Inc,2005/2/25,2005/2/25,TW0003356002,3356,3674,GeoVision Inc,geovision,Geovision,Geovision,GEOVISION,TW:GVI,2005/3/28,30313J,T3356,TW0003356002
Creative Sensor Inc,2005/4/20,2005/4/20,TW0008249004,8249,3674,Creative Sensor Inc,creativesensor,Creative Sensor,Creative Sensor,CREATIVE SENSOR,TW:CRS,2005/5/17,30726N,T8249,TW0008249004
Inventec Appliances Corp,2005/10/18,2005/10/18,TW0003367009,3367,3661,Inventec Appliances Corp,inventecapplian,Inventec Appliances,Inventec Appliances,INVENTEC APPLIANCES,TW:IAP,2005/10/25,31192L,T3367,TW0003367009
Genius Electn Optical Co Ltd,2005/12/2,2005/12/2,TW0003406005,3406,3827,Genius Electn Optical Co Ltd,geniuselecto,Genius Electronic Optical,Genius Electronic Optical,GENIUS ELECTRONIC OPTC.,TW:GNO,2005/12/20,31192F,T3406,TW0003406005
E-Life mall Co Ltd,2005/12/6,2005/12/6,TW0006281009,6281,3674,E-Life mall Co Ltd,e-lifemall,E-Life Mall,E-Life Mall,E-LIFE MALL,TW:OCS,2005/12/8,32501D,T6281,TW0006281009
Shin Zu Shing Co Ltd,2005/12/13,2005/12/13,TW0003376000,3376,3429,Shin Zu Shing Co Ltd,shinzushing,Shin Zu Shing,Shin Zu Shing,SHIN ZU SHING,TW:SZS,2005/12/26,30866H,T3376,TW0003376000
104 Corp,2006/1/12,2006/1/12,TW0003130001,3130,7375,104 Corp,104,104 Corporation,104 Corporation,104 CORP,TW:WOF,2006/2/17,31192X,T3130,TW0003130001
Inotera Memories Inc,2006/2/27,2006/2/27,TW0003474003,3474,3674,Inotera Memories Inc,inoteramemories,Inotera Memories,Inotera Memories,INOTERA MEMORIES,TW:IMI,2006/3/17,32172D,T3474,TW0003474003
Nan Ya Printed Circuit Board,2006/3/21,2006/3/21,TW0008046004,8046,3672,Nan Ya Printed Circuit Board,nanyaprintedcir,Nan Ya Printed Circuit Board,Nan Ya Printed Circuit Board,NAN YA PRINTED CUB.,TW:PCB,2006/4/7,32830N,T8046,TW0008046004
Elite Advanced Laser Corp,2006/3/27,2006/3/27,TW0003450003,3450,3674,Elite Advanced Laser Corp,eliteadvancedla,Elite Advanced Laser,Elite Advanced Laser,ELITE ADVD.LASER,TW:EAL,2006/4/12,31293P,T3450,TW0003450003
Innolux Display Corp,2006/10/11,2006/10/11,TW0003481008,3481,3679,Innolux Display Corp,indisplay,Emerging Display Technologies,Emerging Display Technologies,EMERGING DISPLAY TECHS.,TW:EDT,2001/4/3,257279,T3038,TW0003038006
Maxtek Technology Co Ltd,2006/10/13,2006/10/13,TW0003315008,3315,3674,Maxtek Technology Co Ltd,maxtek,Maxtek Technology,Maxtek Technology,MAXTEK TECHNOLOGY,TW:MXT,2006/10/26,30903K,T3315,TW0003315008
Taiwan Nano Electro-Optical,2006/10/26,2006/10/26,TW0006255003,6255,3674,Taiwan Nano Electro-Optical,taiwannanoelect,Taiwan Nano Electro-Optical Technology,Taiwan Nano Electro-Optical Technology,TAIWAN NANO ELTOPT.TECH.,TW:TWN,2006/10/31,413036,T6255,TW0006255003
Global Unichip Corp,2006/10/31,2006/10/31,TW0003443008,3443,3825,Global Unichip Corp,globalihi,Global Lighting Technologies,Global Lighting Technologies,GLOBAL LIGHTING TECHS.,TW:GLT,2011/7/28,77464N,T4935,KYG3931M1024
Davicom Semiconductor Inc,2007/7/23,2007/7/23,TW0003094009,3094,3674,Davicom Semiconductor Inc,davicomsemicond,Davicom Semiconductor,Davicom Semiconductor,DAVICOM SEMICONDUCTOR,TW:DVC,2007/8/6,50853R,T3094,TW0003094009
Well Shin Technology Co Ltd,2007/9/10,2007/9/10,TW0003501003,3501,3679,Well Shin Technology Co Ltd,wellshin,Well Shin Technology,Well Shin Technology,WELL SHIN TECHNOLOGY,TW:WSC,2007/9/20,51025X,T3501,TW0003501003
Taiwan Prosperity Chemical,2007/9/20,2007/9/20,TW0004725007,4725,2899,Taiwan Prosperity Chemical,taiwanprosperit,Taiwan Prosperity Chemical,Taiwan Prosperity Chemical,TAIWAN PROSPERITY CHM.,TW:TNP,2007/10/2,41227U,T4725,TW0004725007
Inventec Besta Co Ltd,2007/10/16,2007/10/16,TW0008201005,8201,2721,Inventec Besta Co Ltd,inventecbesta,Inventec Besta,Inventec Besta,INVENTEC BESTA,TW:INB,2007/10/29,41611X,T8201,TW0008201005
Gintech Energy Corp,2007/10/22,2007/10/22,TW0003514006,3514,3674,Gintech Energy Corp,gintechenergy,Gintech Energy,Gintech Energy,GINTECH ENERGY,TW:GNE,2007/11/2,41667V,T3514,TW0003514006
ASRock Inc,2007/10/31,2007/10/31,TW0003515003,3515,3571,ASRock Inc,asrock,Asrock,Asrock,ASROCK,TW:ARK,2007/11/8,412148,T3515,TW0003515003
Sunspring Metal Corp,2007/11/5,2007/11/5,TW0002062007,2062,3261,Sunspring Metal Corp,sunspringmetal,Sunspring Metal,Sunspring Metal,SUNSPRING METAL,TW:SNS,2007/11/16,41467T,T2062,TW0002062007
Tong Hsing Electn Inds Ltd,2007/11/5,2007/11/5,TW0006271000,6271,3674,Tong Hsing Electn Inds Ltd,tonghsingelect,Tong Hsing Electronic Industries,Tong Hsing Electronic Industries,TONG HSING ELT.INDS.,TW:TNG,2007/11/16,51261C,T6271,TW0006271000
Darfon Electronics Corp,2007/11/15,2007/11/15,TW0008163007,8163,3679,Darfon Electronics Corp,darfos,Standard Foods,Standard Foods,STANDARD FOODS,TW:SFT,1994/4/8,362416,T1227,TW0001227007
Paragon Technologies Co Ltd,2007/11/15,2007/11/15,TW0003518007,3518,3674,Paragon Technologies Co Ltd,paragontechnolo,Paragon Technologies,Paragon Technologies,PARAGON TECHNOLOGIES,TW:PRG,2007/11/28,36284T,T3518,TW0003518007
Formosa Advanced Technology Co,2007/11/16,2007/11/16,TW0008131004,8131,7389,Formosa Advanced Technology Co,formosaadvanced,Formosa Advanced Technologies,Formosa Advanced Technologies,FORMOSA ADVANCED TECHS.,TW:FAT,2007/11/29,41404L,T8131,TW0008131004
HiTi Digital Inc,2007/11/23,2007/11/23,TW0003494001,3494,3555,HiTi Digital Inc,hitidigital,Hiti Digital,Hiti Digital,HITI DIGITAL,TW:HTO,2007/12/13,36203M,T3494,TW0003494001
HiTi Digital Inc,2007/11/23,2007/11/23,TW0003494001,3494,3555,HiTi Digital Inc,hitidigital,Hiti Digital,Hiti Digital,HITI DIGITAL,TW:HTO,2007/12/13,36203M,T3494,TW0003494001
Formosa Sumco Technology Corp,2007/11/27,2007/11/27,TW0003532008,3532,3674,Formosa Sumco Technology Corp,formosasumco,Formosa Sumco Technology,Formosa Sumco Technology,FORMOSA SUMCO TECHNOLOGY,TW:FKS,2007/12/10,413831,T3532,TW0003532008
Lotes Co Ltd,2007/11/27,2007/11/27,TW0003533006,3533,3678,Lotes Co Ltd,lotes,Global Material Science,Global Material Science,GLOBAL MATERIAL SCIENCE,TW:GMS,2015/1/8,92700M,T6481,TW0006481005
Goodway Machine Corporation,2008/1/11,2008/1/11,TW0001583003,1583,3541,Goodway Machine Corporation,goodwaymachine,Goodway Machine,Goodway Machine,GOODWAY MACHINE,TW:GDY,2008/1/24,41530V,T1583,TW0001583003
Favite Inc,2008/1/17,2008/1/17,TW0003535001,3535,3823,Favite Inc,favite,Favite,Favite,FAVITE,TW:FAV,2008/1/31,41612C,T3535,TW0003535001
Gamma Optical Co Ltd,2008/2/12,2008/2/12,TW0003557005,3557,3827,Gamma Optical Co Ltd,gammaoptical,Gamma Optical,Gamma Optical,GAMMA OPTICAL,TW:GOX,2008/2/27,50832F,T3557,TW0003557005
Bestec Power Electn Co Ltd,2008/2/25,2008/2/25,TW0003308003,3308,3612,Bestec Power Electn Co Ltd,bestecpowerelec,Bestec Power Electronics,Bestec Power Electronics,BESTEC POWER ELECTRONICS,TW:BST,2008/3/12,31160D,T3308,TW0003308003
Century Iron&Steel Industrial,2008/2/26,2008/2/26,TW0009958009,9958,3341,Century Iron&Steel Industrial,centuryirons,Century Iron and Steel Industrial,Century Iron and Steel Industrial,CENTURY IOSTL.INDUSTRIAL,TW:CIL,2008/3/12,51521N,T9958,TW0009958009
