Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Gseven,GSEVEN,TW:GSV,2016/3/21,7014QK,T2937,TW0002937000
Kanpai,KANPAI,TW:KAN,2016/8/29,2555KT,T1269,TW0001269009
Kuobrothers,KUOBROTHERS,TW:KUB,2015/10/27,8695CC,T8477,TW0008477001
Nanoplus,NANOPLUS,TW:NNP,2016/8/15,25509W,T6495,KYG6392C1096
Pegavision,PEGAVISION,TW:PEV,2014/12/30,9267HL,T6491,TW0006491004
Samebest,SAMEBEST,TW:SAB,2016/1/12,8837V9,T8489,TW0008489006
Snsplus,SNSPLUS,TW:SPS,2014/12/8,92240R,T6473,TW0006473002
Tairx,TAIRX,9106NH,2017/6/20,9106NH,T6580,TW0006580004
Throughtek,THROUGHTEK,TW:THL,2017/1/18,29874A,T6565,TW0006565005
Topview,TOPVIEW,TW:TPV,2016/1/6,8830XA,T6556,TW0006556004
Ttbio,TTBIO,TW:TTB,2015/1/8,92700P,T6493,TW0006493000
Unipharma,UNIPHARMA,TW:UDM,2017/8/18,9125LJ,T6621,TW0006621006
9SPLAY Entertainment Technology,9SPLAY ENTERTAINMENT TECHNOLOGY,TW:SPY,2016/1/19,8844CA,T8491,TW0008491002
Aaeon Technology,AAEON TECHNOLOGY,TW:AAY,2016/6/6,7494UT,T6579,TW0006579006
Ablytek,ABLYTEK,TW:ABY,2016/1/27,8859WA,T6511,TW0006511009
Air Asia Company,AIR ASIA COMPANY,TW:AIA,2017/2/24,9038A4,T2630,TW0002630001
Alexander Marine,ALEXANDER MARINE,TW:AXM,2015/9/23,9929VC,T8478,TW0008478009
Ampac Technology,AMPAC TECHNOLOGY,TW:ATN,2015/7/28,9819WK,T6546,TW0006546005
Amulaire Thermal Technology,AMULAIRE THERMAL TECHNOLOGY,TW:ATL,2016/3/10,89549E,T2241,TW0002241007
Andes Technology,ANDES TECHNOLOGY,TW:AND,2015/8/6,9839DF,T6533,TW0006533003
AP Memory Technology,AP MEMORY TECH.,TW:AYT,2015/6/12,95341Y,T6531,TW0006531007
Aplex Technology,APLEX TECHNOLOGY,TW:AXY,2016/2/19,8919JN,T6570,TW0006570005
Appro Photoelectron,APPRO PHOTOELECTRON,TW:APH,2016/1/15,8838MF,T6560,TW0006560006
Aslan Pharmaceuticals,ASLAN PHARMACEUTICALS,TW:ALP,2017/6/1,9102VM,T6497,KYG054241099
Bedding World,BEDDING WORLD,TW:BDW,2016/10/5,2621RF,T2938,TW0002938008
Bonny Worldwide,BONNY WORLDWIDE,TW:BWW,2015/12/15,8784W4,T8467,KYG144971044
Bora Pharmaceuticals,BORA PHARMACEUTICALS,TW:BPH,2014/10/1,9120LF,T6472,TW0006472004
Bossdom Digiinnovation,BOSSDOM DIGIINNOVATION,TW:BSD,2017/5/22,9091HH,T6622,TW0006622004
Castles Technology,CASTLES TECHNOLOGY,TW:KYY,2011/11/14,77940V,T5258,TW0005258008
Cayman Engley Industrial,CAYMAN ENGLEY INDUSTRIAL,TW:CEY,2015/9/15,99240K,T2239,KYG1991F1081
Chang Wah Technology,CHANG WAH TECHNOLOGY,TW:CWA,2015/7/31,9826DF,T6548,TW0006548001
Chief Telecom,CHIEF TELECOM,TW:CH1,2017/6/28,91073W,T6561,TW0006561004
Chong Hong Construction,CHONG HONG CON.,TW:CCL,2002/3/26,15354C,T5534,TW0005534002
Chuang Yi Biotechnology,CHUANG YI BIOTECH,TW:CIB,2016/1/20,8848EK,T6566,TW0006566003
Coaster International,COASTER INTERNATIONAL,TW:COR,2016/9/26,2620N5,T2936,KYG224031024
Crown Bioscience International,CROWN BIOSCIENCE INTERNATIONAL,TW:CBI,2016/2/18,8875VW,T6554,KYG2568J1013
Dabomb Protein,DABOMB PROTEIN,TW:DBP,2016/7/20,7733JX,T6578,TW0006578008
Doctor Wu Skincare,DR.WU SKINCARE,TW:DWS,2015/4/30,9456MJ,T6523,TW0006523004
East Tender Optoelectronics,EAST TENDER OPTOELECTRONICS,TW:ETO,2016/8/30,25516A,T6588,TW0006588007
Episil Holding,EPISIL HOLDING,TW:EHO,2014/10/1,9124HR,T3707,TW0003707006
Excelsior Biopharma,EXCELSIOR BIOPHARMA,TW:EXB,2014/12/19,9236EU,T6496,TW0006496003
Farglory Life Insurance,FARGLORY LIFE INSURANCE,TW:FLI,2015/4/16,9439NM,T5859,TW0005859003
Focaltech Systems,FOCALTECH SYSTEMS,TW:ORS,2007/7/3,50761H,T3545,TW0003545000
Foresee Pharmaceuticals,FORESEE PHARMACEUTICALS,TW:FSE,2016/4/12,7079GF,T6576,TW0006576002
Gallant Micro Machining,GALLANT MICRO MACHINING,TW:LMM,2017/8/11,9123R4,T6640,TW0006640006
Gem Services,GEM SERVICES,TW:GME,2016/4/12,7197NJ,T6525,KYG3790U1040
Geneferm Biotechnology,GENEFERM BIOTECHNOLOGY,TW:GFB,2016/7/26,7741QE,T1796,TW0001796001
Glac Biotechnology,GLAC BIOTECH,TW:GBH,2015/10/30,8697PJ,T6553,TW0006553001
Global Material Science,GLOBAL MATERIAL SCIENCE,TW:GMS,2015/1/8,92700M,T6481,TW0006481005
Globaltek Fabrication,GLOBALTEK FABRICATION,TW:GTF,2017/2/24,9038A6,T4566,TW0004566005
Goldtek Technology,GOLDTEK TECHNOLOGY,TW:GLD,2017/6/28,91074A,T6638,TW0006638000
Gomax Electronics,GOMAX ELECTRONICS,TW:GXE,2015/2/5,9301Z6,T6512,TW0006512007
Goyourlife,GOYOURLIFE,TW:GYL,2015/6/30,9748WL,T6529,TW0006529001
Great Tree Pharmacy,GREAT TREE PHARMACY,TW:GTP,2014/12/29,9267HM,T6469,TW0006469000
JDS-Ky,JDS-KY,TW:JDS,2015/10/21,8692MZ,T4190,KYG518761039
Jenisa Biotechnology,JENISA BIOTECHNOLOGY,TW:JEN,2015/9/30,9934QV,T7421,TW0007421000
JHL Biotechnology,JHL BIOTECH,TW:JHL,2015/9/17,99278C,T6540,KYG7863U1076
Jinan Acetate Chemical,JINAN ACETATE CHEMICAL,TW:JAT,2015/11/9,8717H0,T4763,KYG5138S1057
JMC Electronics,JMC ELECTRONICS,TW:JME,2015/9/8,9923VU,T6552,TW0006552003
Joben Bio-Medical,JOBEN BIO-MEDICAL,TW:JBI,2015/4/20,94473Q,T4193,TW0004193008
Jump Media International,JUMP MEDIA INTERNATIONAL,TW:JUI,2017/4/7,9057NN,T6627,TW0006627003
Kayee International Group,KAYEE INTERNATIONAL GROUP,TW:KIG,2017/8/8,9124HP,T2939,KYG108031074
Kenturn Nano Tec,KENTURN NANO TEC,TW:KUT,2016/11/29,2740QJ,T4561,TW0004561006
Kingwaytek Technology Company,KINGWAYTEK TECH.CO.,TW:KIW,2015/1/26,9290WZ,T6516,TW0006516008
Lida Holdings,LIDA HOLDINGS,TW:LDH,2016/7/20,7742MQ,T4552,KYG5479W1033
Long Time Technology,LONG TIME TECHNOLOGY,TW:LTM,2016/1/25,8856Y7,T6555,TW0006555006
Lumosa Therapeutics,LUMOSA THERAPEUTICS,TW:LUM,2015/7/16,9816N1,T6535,TW0006535008
Medeon Biodesign,MEDEON BIODESIGN,TW:MDZ,2014/12/11,9225QX,T6499,TW0006499007
Medical Imaging,MEDICAL IMAGING,TW:MIM,2017/6/26,91074D,T6637,TW0006637002
Mega Financial Holding,MEGA FINANCIAL HOLDING,TW:CTB,1996/9/25,887320,T2886,TW0002886009
Mikobeaute International,MIKOBEAUTE INTERNATIONAL,TW:MKB,2016/7/14,7726QV,T6574,TW0006574007
MJ International,MJ INTERNATIONAL,TW:MJI,2016/11/1,2655FT,T8466,KYG332481087
Morn Sun Feed Mill,MORN SUN FEED MILL,9120FT,2017/7/21,9120FT,T1240,TW0001240000
Nan Juen International,NAN JUEN INTERNATIONAL,TW:NJI,2016/8/1,7744JC,T6584,TW0006584006
Nan Pao Resins Chemical,NAN PAO RESINS CHEMICAL,9119GL,2017/7/21,9119GL,T4766,TW0004766001
Net Publishing,NET PUBLISHING,TW:NPB,2015/6/25,96699R,T6542,TW0006542004
Nova Technology,NOVA TECHNOLOGY,TW:ONV,2016/12/22,2783YE,T6613,TW0006613003
Nyquest Technology,NYQUEST TECHNOLOGY,TW:NQT,2014/12/24,9239V5,T6494,TW0006494008
Onyx Healthcare,ONYX HEALTHCARE,TW:OYH,2016/1/15,8844A8,T6569,TW0006569007
Pancolour Ink,PANCOLOUR INK,TW:PCK,2016/12/5,2744EX,T4765,TW0004765003
Patec Precision Industry,PATEC PRECISION INDUSTRY,TW:PPI,2015/6/3,95255X,T2236,KYG693691092
Phoenix Silicon International,PHOENIX SILICON INTL.,TW:POS,2014/12/23,9264FH,T8028,TW0008028002
Plexbio Coltd,PLEXBIO COLTD,TW:PLB,2016/2/26,8933Y8,T6572,TW0006572001
Polaris Group,POLARIS GROUP,TW:POG,2016/2/15,8885KA,T6550,KYG7171A1085
Promate Solutions,PROMATE SOLUTIONS,TW:PMS,2016/3/8,8949RX,T6577,TW0006577000
Quang Viet Enterprise,QUANG VIET ENTERPRISE,TW:QVE,2015/7/28,9825HP,T4438,TW0004438007
Quaser Machine Tools,QUASER MACHINE TOOLS,TW:QMT,2016/5/30,7492TF,T4563,TW0004563002
Radiation Technology,RADIATION TECHNOLOGY,TW:RDT,2015/12/2,8751T2,T6514,KYG734231080
Rafael Microelectronics,RAFAEL MICROELECTRONICS,TW:RAM,2016/1/26,8858KY,T6568,TW0006568009
Redhorse Corporation,REDHORSE CORPORATION,TW:RHC,2016/1/27,8866EV,T2928,KYG7448A1058
Regal Holding,REGAL HOLDING,TW:RGH,2016/11/28,27446Z,T4807,KYG7473R1065
Reliance Securities,RELIANCE SECURITIES,TW:RSC,2015/11/2,8700GU,T6027,TW0006027006
Remotek,REMOTEK,TW:RMO,2015/12/29,8806PD,T3391,TW0003391009
Ruentex Development,RUENTEX DEV.,TW:RTX,1992/4/30,315694,T9945,TW0009945006
Shenghua Entertainment Communication,SHENGHUA ENTM.COMM.,TW:SHC,2014/12/8,92240P,T4806,TW0004806005
Shunsin Technology Holdings,SHUNSIN TECH.HDG.,TW:SUS,2015/1/26,9297H5,T6451,KYG811801045
Sinew Pharma,SINEW PHARMA,TW:SPA,2017/6/29,91074F,T6634,TW0006634009
Sun Max Technology,SUN MAX TECH,2742XT,2016/11/30,2742XT,T6591,KYG8587R1074
Superior Plating Technology,SUPERIOR PLATING TECH.,TW:SPL,2011/3/4,77452F,T8431,TW0008431008
Synergy Scientech,SYNERGY SCIENTECH,TW:SYH,2015/11/17,8719Z5,T6558,TW0006558000
Taiwanj Pharmaceuticals,TAIWANJ PHARMACEUTICALS,TW:CJP,2015/10/21,8678UP,T6549,TW0006549009
Tanvex Biopharma,TANVEX BIOPHARMA,TW:TBP,2015/8/13,98891Y,T6541,KYG8676P1037
Thai Ho Group,THAI HO GROUP,TW:THK,2016/1/27,8858KZ,T4136,KYG596381098
Thevax Genetics Vaccine,THEVAX GENETICS VACCINE,TW:VAX,2016/1/22,8852HK,T6567,TW0006567001
Tiga Gaming,TIGA GAMING,TW:TGA,2015/6/18,9660FH,T6536,TW0006536006
TPG Biologics,TPG BIOLOGICS,TW:TPG,2015/3/18,9373MT,T6521,TW0006521008
Transart Graphics,TRANSART GRAPHICS,TW:TGX,2016/3/4,8946YU,T8481,TW0008481003
UBI Pharma,UBI PHARMA,TW:UPH,2016/1/22,8864GN,T6562,TW0006562002
Uni-President Enterprises,UNI-PRESIDENT ENTS.,TW:PRE,1989/3/30,777116,T1216,TW0001216000
Unicocell Biomedical,UNICOCELL BIOMED,TW:UNO,2015/10/15,8664HD,T6539,TW0006539000
Uniflex Technology,UNIFLEX TECHNOLOGY,TW:UFT,2014/12/5,9217A3,T3321,TW0003321006
United Advertising,UNITED ADVERTISING,TW:UIA,2016/11/17,2725QF,T8497,TW0008497009
VHQ Media Holdings,VHQ MEDIA HOLDINGS,TW:VHQ,2015/12/16,8785RA,T4803,KYG9344G1038
Wegames Corporation,WEGAMES CORPORATION,TW:WGC,2017/4/7,9057NQ,T6626,TW0006626005
Ying Han Technology,YING HAN TECHNOLOGY,TW:IHT,2015/11/20,87258Y,T4562,TW0004562004
Yuen Chang SSTL,YUEN CHANG SSTL.,TW:YCS,2015/2/5,9301Z5,T2069,TW0002069002
Yummy Town Holdings,YUMMY TOWN HOLDINGS,TW:YTH,2014/12/24,92645W,T2726,KYG988361021
Yusin Holding,YUSIN HOLDING,TW:YNH,2015/10/12,9819WL,T4557,KYG988461011
3S Silicon Technology,3S SILICON TECH,TW:SNE,2017/2/21,90235V,T5297,TW0005297006
Advanced Semiconductor Engineering,ADVANCED SEMICON.ENGR.,TW:ASE,1989/7/19,540324,T2311,TW0002311008
Ample Electronic Technology,AMPLE ELECTRONIC TECHNOLOGY,TW:AMR,2015/10/8,8653NN,T4760,TW0004760004
Assem Technology,ASSEM TECHNOLOGY,TW:AMY,2014/12/4,9217A4,T6475,TW0006475007
Axcen Photonics,AXCEN PHOTONICS,TW:AXP,2015/6/10,95307K,T6530,TW0006530009
Brave C&H Supply,BRAVE C&H SUPPLY,TW:BCS,2015/8/12,98891Z,T6538,TW0006538002
Buima Group,BUIMA GROUP,TW:BUI,2016/5/9,7310W2,T5543,KYG1676E1035
Catcher Technology,CATCHER TECHNOLOGY,TW:CTH,1999/11/1,691885,T2474,TW0002474004
CH Biotechnology R&D,CH BIOTECH R&D,TW:BRD,2015/7/2,9748XF,T6534,TW0006534001
Chunghwa Precision Test Technology,CHUNGHWA PRECN.TEST TECH.,TW:CGW,2015/1/20,9276N5,T6510,TW0006510001
Concord Medical,CONCORD MEDICAL,TW:CMD,2015/5/13,9507YM,T6518,TW0006518004
Crystalvue Medical,CRYSTALVUE MEDICAL,TW:CVM,2015/4/29,94521K,T6527,TW0006527005
Da LUE International Holding,DA LUE INTL.HLDG.,TW:DLI,2014/12/29,9239V7,T4804,KYG2646C1024
Dadi Early-Childhood Education Group,DADI EARLY-CHILDHOOD ED. GP.,TW:DCE,2015/5/6,9469X8,T8437,KYG2615N1051
Daito ME Holdings,DAITO ME HOLDINGS,TW:DMH,2016/1/8,8838CJ,T8455,KYG264101034
Das Technology,DAS TECHNOLOGY,TW:DTL,2017/9/4,9129EF,T6648,TW0006648009
Double Bond Chemical IND,DOUBLE BOND CHEMICAL IND,TW:DOU,2016/10/14,2628QT,T4764,TW0004764006
Elta Technology,ELTA TECHNOLOGY,TW:ELT,2015/12/10,8758EA,T8487,TW0008487000
EPS Bio Technology,EPS BIO TECHNOLOGY,TW:EPS,2012/11/13,87818R,T4183,TW0004183009
Ever-Clear Environmental English,EVER-CLEAR ENVIRONMENTAL ENG,TW:ERE,2017/3/15,90490D,T6624,TW0006624000
FDC International Hotels Corporation,FDC INTERNATIONAL HOTELS CORPORATION,TW:FDH,2015/11/2,8700GY,T2748,TW0002748001
Fluxtek International,FLUXTEK INTERNATIONAL,TW:FXT,2016/2/15,8885KD,T7443,TW0007443004
Forest Water Environmental Engineering,FOREST WATER ENV.ENGR.,TW:FWE,2015/3/30,9382M7,T8473,TW0008473000
High Power Lighting,HIGH POWER LIGHTING,TW:HOP,2015/12/15,8758ED,T6559,TW0006559008
Hong Wei Electrical Industry,HONG WEI ELECTRICAL INDUSTRY,TW:HWI,2016/10/5,2621N6,T4565,TW0004565007
Joy Industrial,JOY INDUSTRIAL,TW:JIN,2014/12/8,9217A2,T4559,TW0004559000
Kaison Green Energy Technology,KAISON GREEN ENERGY TECHNOLOGY,TW:KGE,2017/8/11,91231D,T2246,TW0002246006
Kuang Hong Arts Management,KUANG HONG ARTS MANAGEMENT,TW:KHA,2016/10/7,2623M6,T6596,TW0006596000
Kuangli Photoelectric Technology,KUANGLI PHOTOELECTRIC TECHNOLOGY,TW:KLP,2014/12/4,9224ZU,T6431,KYG532651075
Lee Chang Yung Technology,LEE CHANG YUNG TECH.,TW:LCT,2017/6/26,9110JM,T4989,TW0004989009
Life Travel and Tourist Service,LIFE TRAVEL & TOURIST SERVICE,TW:LRS,2015/9/14,9926AR,T2745,TW0002745007
Manhattan Hotel Group Company,MANHATTAN HOTEL GP.CO.,TW:MHG,2015/3/12,93336N,T2738,KYG5793A1004
Max Echo Technology,MAX ECHO TECHNOLOGY,TW:MAX,2015/3/26,9382M8,T5228,TW0005228001
MR Onion,MR ONION,TW:MON,2014/12/29,9239V8,T2740,TW0002740008
Pharmally International Holding Company,PHARMALLY INTERNATIONAL HLDG.CO.,TW:PIH,2015/3/25,9384CN,T6452,KYG7060F1019
Phecda Technology,PHECDA TECHNOLOGY,TW:PCA,2014/12/19,9236ET,T6489,TW0006489008
Powertip Image,POWERTIP IMAGE,TW:POM,2015/1/27,9290WY,T6498,TW0006498009
Provision Information,PROVISION INFORMATION,TW:PIF,2016/9/14,2570R5,T6590,TW0006590003
Quanta Computer,QUANTA COMPUTER,TW:QUM,1999/1/8,695966,T2382,TW0002382009
RAC Eletric Vehicles,RAC ELETRIC VEHICLES,TW:REV,2014/12/23,9239V4,T2237,TW0002237005
