issuer,Idate,Fdate,ISIN,ticker,SIC
Qin Jia Yuan Media Svcs Co Ltd,2004/6/29,2004/6/18,,2366,7812
Pacific Basin Shipping Ltd,2004/7/8,2004/6/14,,2343,4499
Luen Thai Holdings Ltd,2004/7/9,2004/6/30,KYG5697P1046,311,2331
Mitsumaru East Kit(Hldg)Ltd,2004/7/13,2004/6/30,,2358,3469
CSMC Technologies Corp,2004/8/6,2004/8/3,KYG258301038,597,3674
Zhongtian International Ltd,2004/9/15,2004/9/10,KYG989151041,2379,7373
Kam Hing Intl Hldg Ltd,2004/9/18,2004/9/14,,2307,2299
Wing Hong(Holdings)Ltd,2004/9/30,2004/9/30,,745,1522
China Force Oil & Grains,2004/10/6,2004/9/28,,1194,2079
IPE Group Ltd,2004/10/26,2004/10/19,,929,3545
ZZNode Holdings Co Ltd,2004/11/15,2004/11/8,,2371,7376
China Shineway Pharm Grp Ltd,2004/11/27,2004/11/15,,2877,2834
Texhong Textile Group Ltd,2004/11/30,2004/11/30,,2678,2211
China Wireless Tech Ltd,2004/12/6,2004/11/30,,2369,7372
Fu Ji Food & Catering Svcs,2004/12/7,2004/12/7,KYG3685B1041,1175,5812
Air China Ltd,2004/12/9,2004/11/25,CN000A0DNWD6,753,4512
IRICO Group Electronics Co Ltd,2004/12/13,2004/11/29,CN000A0DPB68,438,3671
Beijing Media Corp Ltd,2004/12/17,2004/12/10,CN000A0DN2F0,1000,2731
China Metal Intl Hldg Inc,2004/12/20,2004/12/20,,319,3443
Dynasty Fine Wines Group Ltd,2005/1/21,2005/1/17,KYG2950W1087,828,2084
Foxconn Intl Hldg Ltd,2005/1/28,2005/1/24,KYG365501041,2038,3663
Xinyi Glass Holdings Ltd,2005/1/28,2005/1/24,KYG9828G1082,868,3231
New Focus Auto Tech Holdings,2005/2/23,2005/2/17,KYG645451090,360,3711
IT Ltd,2005/2/26,2005/2/22,BMG4977W1038,999,5621
Shanghai Elec Grp Co Ltd,2005/4/27,2005/4/18,CN000A0EABT1,2727,3568
EVA Precision Ind Hldg Ltd,2005/5/5,2005/4/29,KYG321481015,838,3542
Sandmartin Intl Hldg Ltd,2005/5/5,2005/4/28,BMG780521008,482,3679
Bauhaus Intl(Hldg)Ltd,2005/5/6,2005/4/29,KYG1080K1094,483,5699
Linfair Holdings Ltd,2005/6/2,2005/5/27,KYG5503A1013,462,8711
Kenford Group Holdings Ltd,2005/6/6,2005/5/31,KYG523301003,464,3634
China Shenhua Energy Co Ltd,2005/6/8,2005/6/2,CN000A0ERK49,1088,1221
China Glass Holdings Ltd,2005/6/17,2005/6/13,BMG2111H1079,3300,3211
Jolimark Holdings Ltd,2005/6/23,2005/6/20,KYG516941005,2028,3679
GST Holdings Ltd,2005/6/24,2005/6/14,KYG4160F1072,416,3669
China COSCO Holdings Co Ltd,2005/6/25,2005/6/20,CN000A0ERWH6,1919,4412
SIM Technology Group Ltd,2005/6/25,2005/6/21,BMG814741010,2000,3663
Shinhint Acoustic Link Hldg,2005/7/14,2005/6/30,KYG811261075,2728,3651
Alltronics Holdings Ltd,2005/7/15,2005/6/30,KYG022791266,833,3679
Sinochem Hong Kong Hldg Ltd,2005/7/21,2005/7/13,BMG8165Y1286,297,5191
Hong Kong Economic Times,2005/7/28,2005/7/22,KYG4587A1031,423,2731
AAC Acoustic Tech Hldg Inc,2005/8/3,2005/6/11,KYG2953L1095,2018,3663
China Lifestyle F&B Group Ltd,2005/8/26,2005/8/16,BMG2155A1099,N/A,2024
China Yurun Food Group Ltd,2005/9/23,2005/9/3,BMG211591018,1068,2011
Hengdeli Holdings Ltd,2005/9/23,2005/9/14,KYG450481083,3389,5094
Minmetals Resources Ltd,2005/9/29,2005/9/20,HK1208013172,1208,5051
AddChance Holdings Ltd,2005/10/5,2005/9/23,KYG0108P1081,3344,2299
JF Household Furnishings Ltd,2005/10/5,2005/10/5,KYG5137M1096,776,5021
China Paradise Electrn Retail,2005/10/7,2005/9/9,KYG215751085,503,5722
Global Flex Holdings Ltd,2005/10/10,2005/6/4,KYG2237A1013,471,3672
Sincere Watch(Hong Kong)Ltd,2005/10/12,2005/9/30,KYG814791003,444,5094
One Media Group Ltd,2005/10/12,2005/9/30,KYG6752K1058,426,2721
Kasen Intl Hldgs Ltd,2005/10/15,2005/10/3,KYG5216Q1047,496,2512
Tradelink Electn Commerce Ltd,2005/10/21,2005/10/18,HK0536032532,536,7375
Guangdong Nan Yue Logistics Co,2005/10/25,2005/10/14,CN000A0HGLE2,3399,4213
Huali Holdings (Group) Ltd,2005/10/27,2005/10/24,KYG684581013,3366,2679
Ju Teng Intl Hldg Ltd,2005/10/29,2005/10/25,KYG521051063,3336,3577
Chian Haisheng Juice Hldg,2005/10/31,2005/10/25,KYG2111D1060,359,2037
Shenzhou International Group,2005/11/10,2005/11/8,KYG8087W1015,2313,2253
China Infrastructure Machinery,2005/11/11,2005/11/7,KYG2111M1069,3339,3531
Samson Holding Ltd,2005/11/11,2005/11/7,KYG7783W1006,531,2511
Parkson Retail Group Ltd,2005/11/23,2005/11/14,KYG693701073,3368,5999
Minth Group Ltd,2005/11/28,2005/11/6,KYG6145U1094,425,3711
Dongfeng Motor Co Ltd,2005/11/30,2005/11/10,CN000A0HMA01,489,3711
Xiwang Sugar Holdings Co Ltd,2005/12/5,2005/11/19,BMG9827P1095,2088,2062
China Flavors & Fragrances Co,2005/12/6,2005/11/30,KYG2111P1090,3318,2087
Fittec International Group Ltd,2005/12/6,2005/10/22,KYG351751014,2662,3674
China Ting Group Holdings Ltd,2005/12/9,2005/11/24,KYG8439J1058,3398,2284
Xiamen International Port Co,2005/12/10,2005/12/1,CN000A0HNCJ6,3378,4491
Wasion Meters Group Ltd,2005/12/15,2005/12/6,KYG9463P1081,3393,3613
Good Friend Intl Hldgs Inc,2006/1/5,2005/12/30,KYG398001001,2398,3541
Lingbao Gold Co Ltd,2006/1/6,2005/12/30,CN000A0H0MZ9,3330,1041
Modern Beauty Salon Holdings,2006/2/8,2006/1/7,KYG618101003,919,7231
Yorkey Optical International,2006/2/9,2006/1/19,KYG984571078,2788,3999
Nine Dragons Paper(Hldg)Ltd,2006/2/24,2006/2/13,BMG653181005,2689,2621
Ming Hing Holdings Ltd,2006/3/9,2006/3/3,KYG6178Z1081,402,8711
China Natl Bldg Material Co,2006/3/16,2006/3/6,CN000A0JDAF5,3323,3241
Co-Prosperity Holdings Ltd,2006/3/24,2006/3/11,KYG2421Y1052,707,2299
Hunan Nonferrous Metals Corp,2006/3/24,2005/6/18,CN000A0JDN21,2626,3339
ASMC,2006/3/30,2006/3/20,CN000A0JJ2G8,3355,3674
Shanghai Prime Mach Co Ltd,2006/4/20,2006/2/18,CN000A0JKQ03,2345,3511
Dalian Port(PDA)Co Ltd,2006/4/22,2006/4/10,CN000A0JKWN8,2880,4491
DBA Telecom (Asia) Hldgs Ltd,2006/5/8,2006/4/26,CA2329262042,3335,3674
Galaxy SemiConductor Hldgs Ltd,2006/6/8,2006/5/29,KYG376901073,527,3674
TC Interconnect Holdings Ltd,2006/6/13,2006/6/13,KYG8697M1050,515,3672
Jilin Qifeng Chemical Fiber Co,2006/6/15,2006/2/18,CN000A0J27W1,549,2281
Hembly International Hldgs Ltd,2006/7/10,2006/6/30,KYG4394T1058,3989,4731
Air China Ltd,2006/8/8,2006/7/31,CN000A0DNWD6,753,4512
Win Hanverky Holdings Ltd,2006/8/31,2006/5/13,KYG9716W1087,3322,2299
Beijing North Star Co Ltd,2006/9/13,2006/9/13,CN0009068825,588,1541
Jutal Offshore Oil Svcs Ltd,2006/9/19,2006/9/11,KYG520771075,3303,3533
China BlueChemical Ltd,2006/9/22,2006/9/11,CN000A0KFMD8,3983,2873
Lee Kee Holdings Ltd,2006/9/28,2006/9/18,KYG542761039,637,3365
Smart Union Group(Hldgs)Ltd,2006/9/28,2006/9/17,KYG822611011,2700,3944
Computime Group Ltd,2006/9/29,2006/9/19,KYG2341T1031,320,3679
HannStar Board Intl Hldgs Ltd,2006/10/5,2006/6/7,KYG4280A1031,667,3672
LK Technology Holdings Ltd,2006/10/13,2006/9/29,KYG5548P1054,558,3542
NagaCorp Ltd,2006/10/14,2006/8/26,KYG6382M1096,3918,7011
Tiande Chemical Holdings Ltd,2006/10/26,2006/10/17,KYG887551060,609,2899
China Commun Svcs Corp,2006/11/30,2006/11/27,CN000A0LE1L1,552,4813
Aupu Group Holding Co Ltd,2006/11/30,2006/11/18,KYG063571007,477,3639
Kingboard Laminates Hldg Ltd,2006/11/30,2006/8/26,KYG5257K1076,1888,3083
Zhaojin Mining Industry Co Ltd,2006/12/1,2006/11/20,CN000A0LEMS7,1818,1041
Neo-Neon Holdings Ltd,2006/12/8,2006/11/27,KYG642571015,1868,3648
China Commun Constr Co Ltd,2006/12/9,2006/11/28,CN000A0LFFW0,1800,1622
Embry Holdings Ltd,2006/12/9,2006/10/21,KYG3066H1002,1388,2341
Shanghai Jinjiang Intl Hotels,2006/12/9,2006/11/20,CN000A0LFEV5,2006,7011
Kingdom Holdings Ltd,2006/12/11,2006/11/30,KYG525741032,528,2282
Zhuzhou CSR Times Electric Co,2006/12/14,2006/12/5,CN000A0LFEY9,3898,3629
Scud Group Ltd,2006/12/15,2006/12/8,KYG794371024,1399,3691
Haitian Intl Holdings Ltd,2006/12/16,2006/12/7,KYG4232C1087,1882,3089
China Coal Energy Co Ltd,2006/12/18,2006/12/6,CN000A0LFFX8,1898,1221
Xingda Intl Holdings Ltd,2006/12/20,2006/12/8,KYG9827V1068,1899,2296
Tai-I International Hldgs Ltd,2007/1/4,2006/12/28,KYG8661B1014,1808,3357
Meadville Technologies Group,2007/1/26,2007/1/17,KYG5946E1089,3313,3674
Wuyi Intl Pharmaceutical Co,2007/1/26,2007/1/17,KYG980891082,1889,2835
Chongqing Iron & Steel Co Ltd,2007/1/30,2007/1/30,CN000A0MKWW3,1053,3312
Fufeng Group Ltd,2007/1/31,2005/1/7,KYG368441013,546,2899
China Huiyuan Juice Group Ltd,2007/2/14,2007/2/5,KYG211231074,1886,2037
Intime Dept Store (Grp) Co Ltd,2007/3/13,2007/3/1,KYG492041036,1833,5311
China Agri-Inds Hldg Ltd,2007/3/15,2006/10/14,HK0606037437,606,2079
Ajisen(China)Holdings Ltd,2007/3/23,2007/3/12,KYG0192S1093,538,5812
CITIC 1616 Holdings Ltd,2007/3/28,2007/3/16,HK1883037637,1883,4813
Noble Jewelry Holdings Ltd,2007/4/16,2007/3/30,KYG6543W1033,475,3911
China Molybdenum Co Ltd,2007/4/19,2007/4/9,CN000A0MND26,3993,3313
Aluminum Corp of China Ltd,2007/4/21,2007/4/21,CN000A0MQ7N9,2600,3334
Capxon Intl Electronic Co Ltd,2007/5/4,2007/4/24,KYG1892A1094,469,3674
China Print Power Group Ltd,2007/5/10,2007/5/3,BMG2157D1011,6828,2731
Pacific Textiles Holdings Ltd,2007/5/11,2007/5/2,KYG686121032,1382,2257
Belle Intl Holdings Ltd,2007/5/16,2007/5/3,KYG097021045,1880,3144
Jiahua Stores Holdings Ltd,2007/5/18,2007/5/8,KYG7395Y1061,602,5411
Sichuan Xinhua Winshare Chain,2007/5/22,2006/7/29,CN000A0MRKB7,811,5942
Ta Yang Group Holdings Ltd,2007/6/1,2007/5/21,KYG869171044,1991,3061
Walker Group Holdings Ltd,2007/6/1,2007/5/21,KYG261411048,1386,5661
TUL,2007/6/8,2007/5/28,KYG8813K1085,3933,2834
Tianneng Power Intl Ltd,2007/6/8,2007/5/8,KYG8655K1094,819,3691
Sunny Optical Tech(Grp)Co Ltd,2007/6/9,2007/5/28,KYG8586D1097,2382,3861
Ka Shui Intl Holdings Ltd,2007/6/12,2007/6/12,KYG5217R1011,822,3356
China COSCO Holdings Co Ltd,2007/6/20,2007/6/8,CNE100000601,1919,4412
China High Speed Transmission,2007/6/25,2007/6/14,KYG2112D1051,658,3568
Centron Telecom International,2007/6/26,2007/6/21,KYG202011022,1155,4813
China Medical Systems Hldg Ltd,2007/6/26,2007/6/6,KYG211081081,867,2834
Stella International Hldgs Ltd,2007/6/28,2007/6/18,KYG846981028,1836,3143
Tao Heung Holdings Ltd,2007/6/28,2007/5/31,KYG8672Y1089,573,5812
Delta Networks Inc,2007/6/29,2007/3/3,KYG271481080,722,3669
ANTA Sports Products Ltd,2007/6/30,2007/4/21,KYG040111059,2020,2253
Vinda International Hldg Ltd,2007/6/30,2007/6/22,KYG9361V1086,3331,2676
New World Dept Store China Ltd,2007/7/5,2007/6/25,KYG650071098,825,5311
Times Ltd,2007/7/6,2007/5/16,KYG887821000,1832,5411
Regent Manner Intl Hldgs Ltd,2007/7/9,2007/6/25,KYG7481P1000,1997,3674
China Automation Group Ltd,2007/7/11,2007/6/28,KYG2112N1034,569,7382
Tiangong International Co Ltd,2007/7/20,2007/7/6,KYG888311050,826,3317
Tech Pro Tech Dvlp Ltd,2007/9/5,2007/8/24,KYG8729J1040,3823,3675
China Oilfield Services Ltd,2007/9/12,2007/9/12,CNE100000759,2883,1382
Global Sweeteners Holdings Ltd,2007/9/14,2007/5/9,KYG3932Q1029,3889,2087
Hidili Industry International,2007/9/14,2007/6/4,KYG444031069,1393,1221
Qunxing Paper Holdings Co Ltd,2007/9/20,2007/8/27,KYG7329J1004,3868,2621
China Starch Holdings Ltd,2007/9/25,2007/9/11,KYG2161A1013,3838,2046
Dachan Food(Asia)Ltd,2007/9/25,2007/9/14,KYG261441086,3999,2011
China Shenhua Energy Co Ltd,2007/9/26,2007/9/19,CNE100000767,1088,1221
Kingsoft Corp Ltd,2007/9/28,2007/9/17,KYG5264Y1089,3888,7372
Bosideng Intl Hldg Ltd,2007/10/3,2007/5/7,KYG126521064,3998,2299
China Dongxiang(Group)Co Ltd,2007/10/3,2007/8/22,KYG2112Y1098,3818,3949
Xinjiang XinXin Mining,2007/10/4,2006/7/29,CNE1000007G2,3833,1021
Dah Chong Hong Holdings Ltd,2007/10/10,2007/8/1,HK1828040670,1828,5511
Ming Fai International,2007/10/25,2007/10/18,KYG6141X1079,3828,2841
Alibaba.com Ltd,2007/10/26,2007/10/15,KYG017171003,1688,5961
Huafeng Textile Intl Grp Ltd,2007/11/5,2007/6/5,KR8136010004,364,2299
Rainbow Brothers Hldgs Ltd,2007/11/12,2007/11/8,KYG7348C1024,33,3999
Sinotrans Shipping Ltd,2007/11/17,2007/5/7,HK0368041528,368,4412
Sinotruk(Hong Kong)Ltd,2007/11/21,2006/7/1,HK3808041546,3808,3711
Dongyue Group Ltd,2007/11/30,2007/11/20,KYG2816P1072,189,2869
China Sunshine Paper Hldg Co,2007/12/5,2007/11/26,KYG215A01058,2002,2631
China Shipping Container Lines,2007/12/5,2007/11/28,CNE1000008F2,2866,4499
Anton Oilfield Services Group,2007/12/7,2007/11/7,KYG039991024,3337,1382
Uni-President China Holdings,2007/12/7,2007/11/26,KYG9222R1065,220,5149
Eyang Holdings(Group)Co Ltd,2007/12/11,2007/12/11,KYG302931079,117,5065
Vietnam Mnfg & Export Process,2007/12/11,2007/11/28,KYG936171019,422,3751
Pacific Online Ltd,2007/12/11,2007/12/3,KYG9684P1019,543,7375
China Natl Materials Co Ltd,2007/12/12,2007/12/3,CNE100000874,1893,3559
BYD Electronic(Intl)Co Ltd,2007/12/13,2007/11/30,HK0285041858,285,3663
Xingye Copper,2007/12/18,2007/12/8,KYG982761010,505,3351
Pan Asia Environmental Grp Ltd,2007/12/20,2007/12/20,KYG6883P1063,556,5085
China Coal Energy Co Ltd,2008/1/28,2008/1/24,CNE100000957,1898,1221
New Media Group Holdings Ltd,2008/2/10,2008/1/28,HK0708043713,708,2731
Honghua Group Ltd,2008/2/29,2008/2/19,KYG4584R1092,196,3541
Solargiga Energy Hldg Ltd,2008/3/13,2008/3/11,KYG8268W1024,757,3674
Want Want China Holdings Ltd,2008/3/15,2008/1/5,KYG9431R1039,151,2044
Xingfa Aluminium Holdings Ltd,2008/3/20,2008/1/25,KYG9828C1078,98,3363
Zijin Mining Group Co Ltd,2008/4/18,2007/2/3,CNE100000B24,2899,1041
Maoye International Holdings,2008/4/24,2008/4/21,KYG5804G1047,848,5311
Artini China Co Ltd,2008/5/8,2008/4/28,BMG050981015,789,3911
Asia Cement(China)Hldg Corp,2008/5/10,2008/4/28,KYG0539C1069,743,3241
Xtep International Holdings,2008/5/28,2008/5/21,KYG982771092,1368,3021
Pou Sheng Intl Hldgs Ltd,2008/5/30,2008/5/16,BMG7208D1092,3813,5621
A8 Digital Music Holdings Ltd,2008/6/4,2008/5/27,KYG011921064,800,3663
Little Sheep Group Limited,2008/6/5,2008/5/13,KYG550691011,968,5812
Chongqing Mach & Electric Co,2008/6/6,2008/5/13,CNE1000009W5,2722,3714
China Shanshui Cement Grp Ltd,2008/6/26,2008/6/16,KYG2116M1015,691,3241
Sinomedia Holding Ltd,2008/7/2,2008/6/24,HK0000046869,623,7319
SJM Holdings Ltd,2008/7/3,2008/6/23,HK0880043028,880,7011
iOne Holdings Ltd,2008/7/4,2008/6/27,BMG493651027,982,2732
Tianyi Fruit Holdings Ltd,2008/7/7,2008/6/30,KYG8879K1094,756,2086
Emperor Watch & Jewellery Ltd,2008/7/14,2008/6/18,HK0000047982,887,5944
China Zirconium Ltd,2008/8/15,2008/5/13,KYG2122C1217,395,2899
Bloomage BioTechnology Corp,2008/9/30,2008/9/19,KYG1179M1078,963,2834
Shanghai Electric Group Co Ltd,2008/11/11,2008/11/11,CNE100000437,2727,3559
Vitar International Hldg Ltd,2008/11/11,2008/10/30,KYG9382J1004,195,2822
CVM Minerals Ltd,2008/12/15,2007/12/21,HK0000046877,705,1099
Strong Petrochemical Hldg Ltd,2009/1/9,2008/12/23,KYG853951047,852,5172
China Singyes Solar Tech Hdlg,2009/1/12,2008/12/30,BMG2161E1030,750,8711
Real Gold Mining Ltd,2009/2/14,2009/2/4,KYG740991057,246,1041
Come Sure Group(Holdings)Ltd,2009/2/25,2009/2/16,KYG2298N1097,794,2675
Asia Cassava Resources Hldg,2009/3/20,2009/2/26,KYG053931062,841,5145
CT Hldg (Intl) Ltd,2009/3/27,2009/3/18,KYG270611034,1008,2732
Silver Base Group Holdings Ltd,2009/4/3,2008/5/17,KYG816941044,886,2085
China Zhongwang Holdings Ltd,2009/4/30,2008/12/3,KYG215AT1023,1333,3334
Lumena Resources Corp,2009/6/9,2009/6/1,KYG569761060,67,1474
Hing Lee Holdings Ltd,2009/6/19,2009/6/9,BMG4589N1039,396,2519
361 Degrees International Ltd,2009/6/23,2009/5/29,KYG884931042,1361,3949
Bawang International,2009/6/26,2009/5/21,KYG090381032,1338,2841
China Qinfa Group Ltd,2009/7/2,2009/2/12,KYG2159E1070,866,5052
Sichuan Expressway Co Ltd,2009/7/16,2009/7/16,CNE100000494,107,4785
BBMG Corp,2009/7/22,2009/7/13,CNE100000F20,2009,3241
Sundart International Holdings,2009/8/14,2009/8/3,KYG8572A1013,2288,8712
Modern Media Holdings Ltd,2009/9/8,2009/8/28,KYG618251089,72,2731
Metallurgical Corp of China,2009/9/10,2007/5/7,CNE100000FX6,1618,8711
China All Access Holdings Ltd,2009/9/15,2009/9/4,KYG211341048,633,7372
Sinopharm Group Co Ltd,2009/9/16,2009/8/31,CNE100000FN7,1099,2834
China Lilang Ltd,2009/9/16,2008/5/30,KYG211411098,1234,5611
Metallurgical Corp of China,2009/9/17,2007/5/7,CNE100000FF3,1618,8711
Peak Sport products Co Ltd,2009/9/22,2009/7/20,KYG695991011,1968,2329
China South City Holdings Ltd,2009/9/23,2008/6/7,HK0000056264,1668,7389
China Resources Cement,2009/9/25,2008/11/22,KYG2113L1068,1313,3241
Ausnutria Dairy Corp Ltd,2009/9/30,2009/7/20,KYG063181021,1717,5143
Wynn Macau Ltd,2009/9/30,2009/9/21,KYG981491007,1128,7011
Yingde Gases Group Co Ltd,2009/9/30,2009/8/19,KYG984301047,2168,2813
Shenguan Holdings Ltd,2009/10/7,2009/9/25,KYG8116M1087,829,2013
Comtec Solar Systems Group Ltd,2009/10/23,2009/8/8,KYG234201054,712,3674
Trinity Ltd,2009/10/27,2009/10/12,BMG906241002,891,5136
CPMC Holdings Ltd,2009/11/6,2008/6/3,HK0000057171,906,3411
China High Precision Auto,2009/11/6,2008/8/20,KYG211221091,591,3711
China Tontine Wines Group Ltd,2009/11/16,2009/11/5,BMG215A41075,389,2084
Sany Heavy Equipment Co Ltd,2009/11/18,2009/5/16,KYG781631059,631,3531
Sands China Ltd,2009/11/20,2009/7/20,KYG7800X1079,1928,7011
Futong Technology Development,2009/12/3,2009/11/24,KYG369921088,465,5045
PCD Stores(Group)Ltd,2009/12/9,2007/12/3,KYG6956E1035,331,5311
Mobi Development,2009/12/11,2009/11/26,KYG618391091,947,4812
Sandmartin Intl Hldg Ltd,2009/12/11,2009/10/20,BMG780521008,482,3679
China Corn Oil Co Ltd,2009/12/14,2009/12/2,KYG4465A1004,1006,2046
Shengli Oil & Gas Pipe Hldg,2009/12/14,2009/11/30,KYG811661035,1080,3317
Hontex International Hldgs Co,2009/12/17,2009/12/14,KYG459771088,946,2211
Huayu Expressway Group Ltd,2009/12/17,2009/12/10,KYG464101099,1823,1611
Carpenter Tan Holdings Ltd,2009/12/28,2009/12/15,KYG1991G1064,837,2499
Schramm Holding AG,2009/12/28,2009/12/15,DE000A0L1JZ7,955,2295
